title,link
Discovery tools for open access repositories: a literature mapping,/doi/10.1145/3012430.3012532
"Sensing, smart and sustainable technologies for Agri-Food 4.0",/doi/10.1016/j.compind.2019.02.002
Analysis of Landscape Ecological Planning Based on the High-Order Multiwavelet Neural Network Algorithm,/doi/10.1155/2021/9420532
Hybrid Active/Passive Wireless Network Aided by Intelligent Reflecting Surface: System Modeling and Performance Analysis,/doi/10.1109/TWC.2021.3081447
Optimal Transmission Strategy and Time Allocation for RIS-Enhanced Partially WPSNs,/doi/10.1109/TWC.2022.3156732
A holonic intelligent decision support system for urban project planning by ant colony optimization algorithm,/doi/10.1016/j.asoc.2020.106621
"Analysis of AMI, Smart Metering Deployment and Big Data Management Challenges",/doi/10.1145/3361758.3361759
ChargeltUp: On Blockchain-based technologies for Autonomous Vehicles,/doi/10.1145/3211933.3211949
Service-oriented architecture for big data analytics in smart cities,/doi/10.1109/CCGRID.2018.00052
Graphene-Based Artificial Synapses with Tunable Plasticity,/doi/10.1145/3447778
A Hybrid Artificial Bee Colony and Harmony Search Algorithm-Based Metahueristic Approach for Efficient Routing in WSNs,/doi/10.1007/s11277-021-08875-5
Power and thermal management in massive multicore chips: theoretical foundation meets architectural innovation and resource allocation,/doi/10.1145/2968455.2974013
Morphy: Software Defined Charge Storage for the IoT,/doi/10.1145/3485730.3485947
Adaptive Fuzzy Logic Energy Management Strategy Based on Reasonable SOC Reference Curve for Online Control of Plug-in Hybrid Electric City Bus,/doi/10.1109/TITS.2017.2729621
Intelligent energy-aware multiple quality of service restraints based secured optimal routing protocol with dynamic mobility estimation for wireless sensor networks,/doi/10.3233/JIFS-190050
An approach to assess PWR methods to cope with physical barriers on plastic waste disposal and exploration from developing nations,/doi/10.1016/j.eswa.2022.117996
Intelligent Electric Vehicle Charging Recommendation Based on Multi-Agent Reinforcement Learning,/doi/10.1145/3442381.3449934
Perpetual and low-cost power meter for monitoring residential and industrial appliances,/doi/10.5555/2485288.2485567
RLCharge: Imitative Multi-Agent Spatiotemporal Reinforcement Learning for Electric Vehicle Charging Station Recommendation,/doi/10.1109/TKDE.2022.3178819
Data-Prediction Model Based on Stepwise Data Regression Method in Wireless Sensor Network,/doi/10.1007/s11277-022-10034-3
Towards an Intelligent Approach for Ventilation Systems Control using IoT and Big Data Technologies,/doi/10.1016/j.procs.2018.04.091
Taking a quantum leap in time to solution for simulations of high-Tc superconductors,/doi/10.1145/2503210.2503282
Hibernus++: A Self-Calibrating and Adaptive System for Transiently-Powered Embedded Devices,/doi/10.1109/TCAD.2016.2547919
Video retrieval framework based on color co-occurrence feature of adaptive low rank extracted keyframes and graph pattern matching,/doi/10.1016/j.ipm.2022.102870
Bandit-based solar panel control,/doi/10.5555/3504035.3504980
Toward a Sparse Self-Organizing Map for Neuromorphic Architectures,/doi/10.1145/2638559
Security in the cloud panel: symposium summary,/doi/10.5555/2788357.2788363
nShield: a noninvasive NFC security system for mobiledevices,/doi/10.1145/2594368.2594376
