title,link,abstract,processed_abstract
DNNTune: Automatic Benchmarking DNN Models for Mobile-cloud Computing,/doi/10.1145/3368305,"Deep Neural Networks (DNNs) are now increasingly adopted in a variety of Artificial Intelligence (AI) applications. Meantime, more and more DNNs are moving from cloud to the mobile devices, as emerging AI chips are integrated into mobiles. Therefore, the DNN models can be deployed in the cloud, on the mobile devices, or even mobile-cloud coordinate processing, making it a big challenge to select an optimal deployment strategy under specific objectives.This article proposes a DNN tuning framework, i.e., DNNTune, that can provide layer-wise behavior analysis across a number of platforms. Using DNNTune, this article further selects 13 representative DNN models, including CNN, LSTM, and MLP, and three mobile devices ranging from low-end to high-end, and two AI accelerator chips to characterize the DNN models on these devices to further assist users finding opportunities for mobile-cloud coordinate computing. Our experimental results demonstrate that DNNTune can find a coordinated deployment achieving up to 1.66× speedup and 15× energy saving comparing with mobile-only and cloud-only deployment.",dnns increasingly adopted ai meantime dnns moving cloud mobile devices ai chips mobiles dnn models cloud mobile devices coordinate big select deployment dnn tuning dnntune dnntune selects representative dnn models cnn lstm mlp mobile devices ranging ai chips dnn models devices assist finding coordinate dnntune coordinated deployment speedup comparing deployment
A Dynamic Service Migration Mechanism in Edge Cognitive Computing,/doi/10.1145/3239565,"Driven by the vision of edge computing and the success of rich cognitive services based on artificial intelligence, a new computing paradigm, edge cognitive computing (ECC), is a promising approach that applies cognitive computing at the edge of the network. ECC has the potential to provide the cognition of users and network environmental information, and further to provide elastic cognitive computing services to achieve a higher energy efficiency and a higher Quality of Experience (QoE) compared to edge computing. This article first introduces our architecture of the ECC and then describes its design issues in detail. Moreover, we propose an ECC-based dynamic service migration mechanism to provide insight into how cognitive computing is combined with edge computing. In order to evaluate the proposed mechanism, a practical platform for dynamic service migration is built up, where the services are migrated based on the behavioral cognition of a mobile user. The experimental results show that the proposed ECC architecture has ultra-low latency and a high user experience, while providing better service to the user, saving computing resources, and achieving a high energy efficiency.",edge computing rich cognitive services computing edge cognitive computing ecc applies cognitive computing edge ecc provide cognition provide elastic cognitive computing services higher efficiency higher experience qoe edge computing architecture ecc describes issues detail dynamic service migration mechanism provide cognitive computing edge computing mechanism dynamic service migration built services migrated behavioral cognition user ecc architecture high user experience service user computing high efficiency
CoEdge: Cooperative DNN Inference With Adaptive Workload Partitioning Over Heterogeneous Edge Devices,/doi/10.1109/TNET.2020.3042320,"Recent advances in artificial intelligence have driven increasing intelligent applications at the network edge, such as smart home, smart factory, and smart city. To deploy computationally intensive Deep Neural Networks (DNNs) on resource-constrained edge devices, traditional approaches have relied on either offloading workload to the remote cloud or optimizing computation at the end device locally. However, the cloud-assisted approaches suffer from the unreliable and delay-significant wide-area network, and the local computing approaches are limited by the constrained computing capability. Towards high-performance edge intelligence, the cooperative execution mechanism offers a new paradigm, which has attracted growing research interest recently. In this paper, we propose CoEdge, a distributed DNN computing system that orchestrates cooperative DNN inference over heterogeneous edge devices. CoEdge utilizes available computation and communication resources at the edge and dynamically partitions the DNN inference workload adaptive to devices&#x2019; computing capabilities and network conditions. Experimental evaluations based on a realistic prototype show that CoEdge outperforms status-quo approaches in saving energy with close inference latency, achieving up to 25.5&#x0025; &#x007E; 66.9&#x0025; energy reduction for four widely-adopted CNN models.",intelligence driven network edge smart smart factory smart city dnns edge devices approaches relied either workload remote computation locally approaches unreliable network computing approaches constrained computing edge intelligence cooperative attracted coedge dnn computing orchestrates cooperative dnn inference edge devices coedge utilizes computation edge partitions dnn inference workload devices computing network coedge approaches close inference
Importance of Combination of Ecology and Literature,/doi/10.1145/3519597,"Ecology empowers the environment and is critical to human prosperity and well-being. It offers an innovative approachto the interconnectivity between humans and nature, crucial to food security, clean air and water, and conservation sustainability in a changing world. A selection of literary texts from fiction, poetry, and drama is read and answered in literature. They learn to value words and their strength, journey through the texts into other worlds and ages, understand their society and others, and learn to experience character, joy, and pain.Ecocriticism analyses the relationship between literature and ecology and their synthesis. It is an interdisciplinary study of ecology and literature unique as a synthesis of science and humanism. Machine learning methods are gradually becoming applied science, a significant branch of artificial intelligence.It is suggested that potential machine learning apps in ecocriticism can become an even more appealing platform in the face of ""big data"" and can soon open up new ways of study to further data such as sound and picture.The concept and role of ecocriticism of Artificial Intelligence (AI)are discussed in these reports. By comparison, the AI-Ecocriticism (AI-EC) framework covers the literature-ecological interactions or how literature reflects the physical world. In a period in which automated population and environment tracking produce many data that human beings can no longer analyze, machine learning could become a requirement.The ecology score and the carbon footprint of the particular area are analyzed and reported that ecology score marked 18% average in the last 50 years and carbon footprint reduced remarkably.",ecology empowers environment human approachto food world literary texts fiction poetry drama answered literature learn words journey texts worlds ages society others learn character joy literature ecology synthesis study ecology literature synthesis science humanism machine learning gradually science branch suggested machine learning ecocriticism become appealing data study data ecocriticism reports literature reflects world period population environment data human beings machine learning become ecology score carbon footprint ecology score marked carbon footprint remarkably
A MEC Offloading Strategy Based on Improved DQN and Simulated Annealing for Internet of Behavior,/doi/10.1145/3532093,"The Internet of Medical Things (IoMT) and Artificial Intelligence (AI) have brought unprecedented opportunities to meet massive behavioral data access and personalization requirements for Internet of Behavior (IoB). They facilitate the communication and computing resource allocation to guarantee low delay and energy consumption demands in healthcare. This article presents an improved offloading algorithm for Mobile Edge Computing (MEC) based on Deep Q Network (DQN) and Simulated Annealing (SA) for IoB. Firstly, we analyze the network model and establish a task cost function based on processing delay and energy consumption. Secondly, we define a Distributed Optimization Problem (DOP) to maximize individual utilities and system utility, which is proved to be a potential countermeasure. Thirdly, we conduct Markov modeling for the current offloading strategy-making scheme and define the objectives and constraints of the optimization function. At the same time, the SA is introduced into the DQN Algorithm, which improves the capacity of the algorithm by focusing on the exploration in the early stage and following the experience value in the later stage. From the simulation results, we can see that compared with the traditional scheme, the proposed strategy can maximize the utilization of the system and reduce processing delay and energy consumption.",internet iomt brought unprecedented behavioral personalization internet iob computing delay consumption offloading algorithm computing based dqn annealing sa iob firstly establish function based processing delay consumption secondly define optimization dop maximize utilities proved countermeasure thirdly markov offloading scheme define objectives optimization function sa dqn algorithm algorithm focusing exploration early stage following later stage scheme maximize processing delay consumption
Recurrent Neural Networks for Edge Intelligence: A Survey,/doi/10.1145/3448974,"Recurrent Neural Networks are ubiquitous and pervasive in many artificial intelligence applications such as speech recognition, predictive healthcare, creative art, and so on. Although they provide accurate superior solutions, they pose a massive challenge “training havoc.” Current expansion of IoT demands intelligent models to be deployed at the edge. This is precisely to handle increasing model sizes and complex network architectures. Design efforts to meet these for greater performance have had inverse effects on portability on edge devices with real-time constraints of memory, latency, and energy. This article provides a detailed insight into various compression techniques widely disseminated in the deep learning regime. They have become key in mapping powerful RNNs onto resource-constrained devices. While compression of RNNs is the main focus of the survey, it also highlights challenges encountered while training. The training procedure directly influences model performance and compression alongside. Recent advancements to overcome the training challenges with their strengths and drawbacks are discussed. In short, the survey covers the three-step process, namely, architecture selection, efficient training process, and suitable compression technique applicable to a resource-constrained environment. It is thus one of the comprehensive survey guides a developer can adapt for a time-series problem context and an RNN solution for the edge.",recurrent pervasive creative art superior pose training expansion edge precisely model sizes efforts greater inverse portability edge devices insight compression disseminated regime powerful rnns devices compression rnns survey highlights challenges encountered training training procedure directly influences model compression alongside advancements training challenges strengths drawbacks short survey covers process namely training process compression applicable survey guides developer rnn edge
PhiNets: A Scalable Backbone for Low-power AI at the Edge,/doi/10.1145/3510832,"In the Internet of Things era, where we see many interconnected and heterogeneous mobile and fixed smart devices, distributing the intelligence from the cloud to the edge has become a necessity. Due to limited computational and communication capabilities, low memory and limited energy budget, bringing artificial intelligence algorithms to peripheral devices, such as end-nodes of a sensor network, is a challenging task and requires the design of innovative solutions. In this work, we present PhiNets, a new scalable backbone optimized for deep-learning-based image processing on resource-constrained platforms. PhiNets are based on inverted residual blocks specifically designed to decouple the computational cost, working memory, and parameter memory, thus exploiting all available resources for a given platform. With a YoloV2 detection head and Simple Online and Realtime Tracking (SORT), the proposed architecture achieves state-of-the-art results in (i) detection on the COCO and VOC2012 benchmarks, and (ii) tracking on the MOT15 benchmark. PhiNets obtain a reduction in parameter count of around 90% with respect to previous state-of-the-art models (EfficientNetv1, MobileNetv2) and achieve better performance with lower computational cost. Moreover, we demonstrate our approach on a prototype node based on an STM32H743 microcontroller (MCU) with 2 MB of internal Flash and 1MB of RAM and achieve power requirements in the order of 10 mW. The code for the PhiNets is publicly available on GitHub.1",interconnected devices distributing limited computational memory limited budget bringing peripheral devices phinets backbone phinets based inverted residual blocks decouple computational cost memory parameter memory available detection head realtime tracking sort detection coco tracking phinets parameter count respect achieve computational cost based microcontroller mcu mb internal flash ram achieve mw phinets publicly available
OnSRAM: Efficient Inter-Node On-Chip Scratchpad Management in Deep Learning Accelerators,/doi/10.1145/3530909,"Hardware acceleration of Artificial Intelligence (AI) workloads has gained widespread popularity with its potential to deliver unprecedented performance and efficiency. An important challenge remains in how AI accelerators are programmed to sustain high utilization without impacting end-user productivity. Prior software optimizations start with an input graph and focus on node-level optimizations, viz. dataflows and hierarchical tiling, and graph-level optimizations such as operation fusion. However, little effort has been devoted to inter-node on-chip scratchpad memory (SPM) management in Deep Learning (DL) accelerators, whose significance is bolstered by the recent trends in complex network topologies and the emergence of eager execution in DL frameworks.We characterize and show that there exists up to a 5.2× performance gap in DL inference to be bridged using SPM management and propose OnSRAM, a novel SPM management framework integrated with the compiler runtime of a DL accelerator. We develop two variants, viz.  OnSRAM-Static, which works on static graphs to identify data structures that can be lucratively held on-chip based on their size, liveness and significance, and OnSRAM-Eager, which targets an eager execution model (no graph) and uses a history-based speculative scheme to hold/discard data structures. We integrate OnSRAM  with TensorFlow and analyze it on multiple accelerator configurations. Across a suite of 12 images, objects, and language networks, on a 3 TFLOP system with a 2 MB SPM and 32 GBps external memory bandwidth, OnSRAM-Static  and OnSRAM-Eager  achieve 1.02–4.8× and 1.02–3.1× reduction in inference latency (batch size of 1), over a baseline with no SPM management. In terms of energy savings, we observe average reductions of 1.51× (up to 4.1×) and 1.23× (up to 2.9×) for the static and eager execution scenarios, respectively.",ai ai accelerators optimizations graph optimizations viz optimizations memory spm management dl accelerators significance eager execution dl dl inference spm management onsram spm management dl accelerator viz static structures size significance eager execution graph structures onsram accelerator spm memory inference size spm management static eager execution
Synaptic Activity and Hardware Footprint of Spiking Neural Networks in Digital Neuromorphic Systems,/doi/10.1145/3520133,"Spiking neural networks are expected to bring high resources, power, and energy efficiency to machine learning hardware implementations. In this regard, they could facilitate the integration of Artificial Intelligence in highly constrained embedded systems, such as image classification in drones or satellites. If their logic resource efficiency is widely accepted in the literature, their energy efficiency still remains debated. In this article, a novel high-level metric is used to characterize the expected energy efficiency gain when using Spiking Neural Networks (SNN) instead of Formal Neural Networks (FNN) for hardware implementation: Synaptic Activity Ratio (SAR). This metric is applied to a selection of classification tasks including images and 1D signals. Moreover, a high-level estimator for logic resources, power usage, execution time, and energy is introduced for neural network hardware implementations on FPGA, based on four existing accelerator architectures covering both sequential and parallel implementation paradigms for both spiking and formal coding domains. This estimator is used to evaluate the reliability of the Synaptic Activity Ratio metric to characterize spiking neural network energy efficiency gain on the proposed dataset benchmark. This study led to the conclusion that spiking domain offers significant power and energy savings in sequential implementations. This study also shows that synaptic activity is a critical factor that must be taken into account when addressing low-energy systems.",spiking neural networks expected resources power efficiency hardware implementations classification satellites logic efficiency efficiency debated metric used characterize expected efficiency gain spiking neural networks formal neural networks fnn hardware implementation synaptic activity ratio sar metric classification estimator logic resources power neural hardware implementations sequential implementation spiking formal coding estimator used synaptic activity ratio metric characterize spiking neural efficiency gain study conclusion spiking power sequential implementations study synaptic activity taken
ELSA: A Throughput-Optimized Design of an LSTM Accelerator for Energy-Constrained Devices,/doi/10.1145/3366634,"The next significant step in the evolution and proliferation of artificial intelligence technology will be the integration of neural network (NN) models within embedded and mobile systems. This calls for the design of compact, energy efficient NN models in silicon. In this article, we present a scalable application-specific integrated circuit (ASIC) design of an energy-efficient Long Short-Term Memory (<underline>LS</underline>TM) <underline>a</underline>ccelerator, named ELSA, which is suitable for energy-constrained devices. It includes several architectural innovations to achieve small area and high energy efficiency. To reduce the area and power consumption of the overall design, the compute-intensive units of ELSA employ approximate multiplications and still achieve high performance and accuracy. The performance is further improved through efficient synchronization of the elastic pipeline stages to maximize the utilization. The article also includes a performance model of ELSA, as a function of the hidden nodes and timesteps, permitting its use for the evaluation of any LSTM application. ELSA was implemented in register transfer level (RTL) and was synthesized and placed and routed in 65nm technology. Its functionality is demonstrated for language modeling—a common application of LSTM. ELSA is compared against a baseline implementation of an LSTM accelerator with standard functional units and without any of the architectural innovations of ELSA. The article demonstrates that ELSA can achieve significant improvements in power, area, and energy-efficiency when compared to the baseline design and several ASIC implementations reported in the literature, making it suitable for use in embedded systems and real-time applications.",significant technology nn models embedded design nn models article asic design underline underline elsa suitable includes several architectural innovations achieve area area power design units elsa achieve performance performance article includes performance elsa lstm application elsa technology application lstm elsa baseline lstm units architectural innovations elsa article elsa achieve significant power area baseline design several asic suitable embedded
A Unified Programmable Edge Matrix Processor for Deep Neural Networks and Matrix Algebra,/doi/10.1145/3524453,"Matrix Algebra and Deep Neural Networks represent foundational classes of computational algorithms across multiple emerging applications like Augmented Reality or Virtual Reality, autonomous navigation (cars, drones, robots), data science, and various artificial intelligence-driven solutions. An accelerator-based architecture can provide performance and energy efficiency supporting fixed functions through customized data paths. However, constrained Edge systems requiring multiple applications and diverse matrix operations to be efficiently supported, cannot afford numerous custom accelerators. In this article, we present MxCore, a unified architecture that comprises tightly coupled vector and programmable cores sharing data through highly optimized interconnects along with a configurable hardware scheduler managing the co-execution. We submit MxCore as the generalized approach to facilitate the flexible acceleration of multiple Matrix Algebra and Deep-learning applications across a range of sparsity levels. Unified compute resources improve overall resource utilization and performance per unit area. Aggressive and novel microarchitecture techniques along with block-level sparsity support optimize compute and data-reuse to minimize bandwidth and power requirements enabling ultra-low latency applications for low-power and cost-sensitive Edge deployments. MxCore requires a small silicon footprint of 0.2068 mm2, in a modern 7-nm process at 1 GHz and achieves (0.15 FP32 and 0.62 INT8) TMAC/mm2, dissipating only 11.66 μW of leakage power. At iso-technology and iso-frequency, MxCore provides an energy efficiency of 651.4×, 159.9×, 104.8×, and 124.2× as compared to the 128-core Nvidia’s Maxwell GPU for dense General Matrix Multiply, sparse Deep Neural Network, Cholesky decomposition, and triangular matrix solve respectively.",matrix algebra deep foundational across multiple applications reality reality data architecture customized data multiple applications matrix mxcore unified architecture comprises tightly data interconnects along submit mxcore multiple matrix algebra applications across sparsity unified compute microarchitecture along sparsity compute power applications mxcore ghz dissipating power mxcore nvidia maxwell dense matrix multiply deep cholesky triangular matrix
