date,abstract,title,link
,"The solar-sharing smart lighting system Artificial Intelligence (AI) that automatically adjusts the LED lighting appropriate for indoor vertical farming specifically on high-valued crops tested on lettuce (Lactuca sativa). The concept of this study is to make a smart lighting system more economical using Arduino and power-efficient by using renewable energy like solar power and to address the Sustainable Development Goals regarding Food Security. This study aims to investigate the effects of light treatments on the growth performance in terms of weekly plant height under varying lighting control. Hence, smart LED lighting will be developed to automatically adjust the light intensity needed by the plants to grow indoor using a hydroponics system by means of Arduino and using the Internet of Things (IoT). The experimental setup consists of three treatments: (A) smart lighting, (B) smart lighting with manual setting, and (C) smart lighting with IoT settings. Additionally, it offers the light required for photosynthesis at various phases of growth. The entire system is controlled by a microcontroller, which decides when to turn on and off the LEDs and adjusts their brightness in accordance with the amount of sunlight. The system was implemented successfully, and growth performance improved.",End-Product of Solar-Sharing Smart Lighting Artificial Intelligence Driven Platform for High-Valued Crops (Lactuca Sativa) on Indoor Hydroponics Syste,https://ieeexplore.ieee.org/document/10001821/
,"In recent years, energy storage systems have rapidly transformed and evolved because of the pressing need to create more resilient energy infrastructures and to keep energy costs at low rates for consumers, as well as for utilities. Among the wide array of technological approaches to managing power supply, Li-Ion battery applications are widely used to increase power capabilities and to better integrate renewable energy sources. The improvement of Li-Ion batteries' reliability and safety requires BMS (battery management system) technology for the energy systems' optimal functionality and more sustainable batteries with ultra-high performances. This paper aims to introduce the need to incorporate information technology within the current energy storage applications for better performance and reduced costs. Artificial intelligence based BMSs facilitate parameter predictions and state estimations, thus improving efficiency and lowering overall maintenance costs.",AI-based intelligent energy storage using Li-ion batteries,https://ieeexplore.ieee.org/document/9425328/
,"In light of the increasing urgency regarding climate change due to man-made greenhouse gas emissions, focus is now being brought to bear on the amount of energy that artificial intelligence (AI) applications consume. Research has highlighted the immense carbon footprint of machine learning (ML) driven applications, due to the extraordinary growth in the size of deep learning models, which are estimated to have grown by a factor of 300,000 over the last six years. This is a concern, so we wish to add our voice to a growing community of responsible AI researchers and practitioners and help highlight how energy awareness and responsible best practices can be used to enhance the environmental sustainability of AI. Hence, we provide a preliminary exploration of the energy use profile of ML training in the cloud and demonstrate how transfer learning can be used to reduce this energy consumption.",Sustainable AI in the Cloud: Exploring Machine Learning Energy Use in the Cloud,https://ieeexplore.ieee.org/document/9680315/
,"Energy sustainability is one of the world focuses and a crucial matter today. In this information technology era, many fancy technologies have been designed and created to help human in creating the better living. In fact, they are also the main causes why the energy demand is increasing. This research is trying to introduce IntelligEnSia, as the recommendation in order to achieve the energy sustainability that focuses in Manado, Indonesia. We realize that the research in this field has been flourished, thus we want to introduce the competences of IntelligEnSia which are relied on the Business Intelligence and its potential to create the new effective behavior. It can provide intelligence reporting of the energy consumption for the better and effective energy management system in the city: resources, availability, consumption and characteristics peak load to peak off times. It is included the report of the list that have improved their consumption behavior. Finally, our solution may help government and industries in decision making and creating policies regarding energy management and the goal to achieve the new better behavior for the energy sustainability.","IntelligEnsia for Energy Sustainability Case Study: Manado, Indonesia",https://ieeexplore.ieee.org/document/6779886/
,"Microgrids and energy platforms have become increasingly intricate in nature. This is especially true in platforms adopted in large multi functional complexes which are spread across geographies of varying climactic conditions. Many of these complexes have evolved over time as organisations have grown and diversified, this has resulted in a mix of infrastructure, technology, networks, systems and equipment woven in an inextricable web. Often managing such complex hierarchies involve interacting with heterogeneous management platforms from various vendors and built on different platforms each providing the solution to a piece of the ’energy puzzle’ of the organisation. The complexities involved in managing such a network of systems are manifold and require extensive resourcing and expertise. Sustainability and Net Zero carbon emission initiatives that aim to achieve international and national targets add a further layer of complexity to the task at hand. In this paper, we propose a Cloud Edge architecture that leverages Artificial Intelligence (AI) and data analytics for microgrid energy optimisation and net zero carbon emissions. This architecture provides an intelligent and cohesive abstraction to assist in cataloging, unifying and managing the complexities of microgrids and enabling sustainable management of energy. The proposed architecture has been operationalised as the energy management and optimisation platform at a multi-campus, multi-functional tertiary education institution. Empirical evaluations conducted on this deployment have generated results that confirm the function and effectiveness of this architecture in addressing the emerging and evolving challenges of microgrid energy optimisation and net zero carbon emissions.",Cloud Edge Architecture Leveraging Artificial Intelligence and Analytics for Microgrid Energy Optimisation and Net Zero Carbon Emissions,https://ieeexplore.ieee.org/document/9869465/
,"Currently, several countries are seeking to change their energy matrices towards more sustainable sources. In Chile, one of the renewable sources with increased participation is photovoltaics. However, photovoltaic energy sources have an intrinsic variability, which combined with variable demand imposes a challenge for proper design. Currently, tools available for the study of this variability are either complex or expensive. With the advent of digitalization, there is an opportunity to incorporate tools based on Artificial Intelligence to improve forecasting for medium and low power installations. This work presents an application of machine learning tools for irradiance and power consumption forecasting. The methodology is intended to be implemented as a low cost solution for small scale generation. The results show that it is possible to predict irradiance and energy consumption through historical data, concluding that the methodology based on Machine Learning is able to support the decision making for the improvement of photovoltaic systems.",Artificial Intelligence-based Irradiance and Power consumption prediction for PV installations,https://ieeexplore.ieee.org/document/9702890/
,"Natural Resources businesses span one or more of the following verticals: Explore & Discover, Develop, Extract & Transport, Market & Trade. Natural Gas (NG) is a key component of the Natural Resources industry, which contributes both directly and indirectly to sustain and support the day to day energy needs of humans. Various forums drive key initiatives to maintain the sustainability of natural resources for decades to come. The recent evolution of advanced Information Technology (IT) fields, termed as `Big Data and Artificial Intelligence (BD&AI),' fortify these initiatives by providing anytime, anywhere access of data (for example in remote offshore assets or facilities) from a vast corpus base, in addition to enabling natural human interaction. In this paper we intend to explore the key primitives of BD&AI and cite the method of real-world implementation in the Natural Gas industry to further enable sustainable development.",Unravelling the Myth of big data and artificial intelligence in sustainable natural resource development,https://ieeexplore.ieee.org/document/7840903/
,"This panel session outlines the Power System Engineering Research Center's (PSERC) new initiative funded by the US Department of Energy (DOE) to investigate requirements for a systematic transformation of today's electric grid to enable high penetrations of sustainable energy systems. A giant transformation in the electric grid is underway. The grid is evolving away from a network-architecture with relatively few large, hierarchically-connected, tightly synchronized energy resources supplying large, medium, and very many small passive consumers. It is evolving toward a network driven by many highly variable distributed energy resources mixed with large central generation sources, energy storage, and responsive users equipped with embedded intelligence and automation to meet their unique energy needs while co-existing and interacting within a complex dynamic network system. This panel session will highlight the various activities in the initiative and outline the activities in the different thrust areas and broad analysis topics.",The future grid to enable sustainable energy systems,https://ieeexplore.ieee.org/document/6344801/
,"Addressing concerns about security of energy supply, sustainability and climate change drives the shift towards greener economies based on a combination of energy efficiency and renewable energy systems. Although this transition is accelerating, many economic and technical challenges remain. The development of hybrid energy systems that combine two or more renewable sources have the potential to provide more cost effective and reliable renewable energy fraction when the appropriate size and combination of systems are utilized. This paper presents a methodology that employs artificial intelligence tools for data analysis in order to design and optimize systems that deliver low grade thermal energy to buildings and industrial applications operating in the Irish cool marine climate. The methodology uses measured weather and thermal energy consumption data from both a public building and an industrial process between 2008 and 2009. Results demonstrate significant capital cost reduction with multi-source hybrid systems and improved performance.",Intelligent analysis and design of heat pump based hybrid renewable energy systems operating in the Irish cool marine climate,https://ieeexplore.ieee.org/document/6114247/
,"The control of temperature and humidity is the key technology for planting bacteria. The process requires the air conditioning system to provide a constant temperature and humidity environment for the growth of bacteria for 24 hours. The process of cultivating bacteria consumes a lot of Air conditioning costs. We hope to respond to energy-saving policies. Renewable energy is currently a step forward for all countries in the world. To the non-nuclear homeland, the main development of improving power quality and efficiency. Through this research, we provide the future use of agricultural artificial intelligence and bacterial culture environment to help the development of industries in various fields and achieve sustainable development while taking into account ecological balance and energy conservation. The results obtained through the actual verification are as follows. The demand IoT controller studies the ""energy-saving efficiency of the culture room"" and the ""quantity demand load"". The experimental results show an energy-saving efficiency of 25%, or even 1/3 of the total load to effectively control the load consumption.",Research on Energy-Saving Efficiency of the Air-Conditioning Host in Agricultural Plant Bacteria Room,https://ieeexplore.ieee.org/document/9829483/
,"Latin Americas energy transition involves the massive integration of sustainable energy, different than hydro, at large and small scale, consumer empowerment, and the adoption of emerging information and communication technologies (ICT) in the entire electricity sector. These factors boost the usage of Artificial Intelligence (AI) to transform the traditional energy industry into a more complex cyber-physical ecosystem. But unlocking the full AI potential requires understanding working principles, current existing applications, and its comprehensive impact on the energy value chain. This paper discusses the role of AI in this context, emphasizing the key factors for successful implementation in the region and proposing an AI maturity model for the energy transition that allows determining the status and gaps for AI adoption.",The Role of Artificial Intelligence in Latin Americas Energy Transition,https://ieeexplore.ieee.org/document/9904766/
,"The different energy assets such as solar panels and batteries help electrical engineers to manage and meet the increasing demand. The amalgamation of renewable energy resources with artificial intelligence is the key focus of providing high energy efficiency with alternative sources. This solution will not only meet electricity demand but also help in reducing greenhouse gas emissions as a result the efficient, sustainable and eco-friendly solution can be achieved which would contribute a lot to the smart grid environment. Here, a modified grey wolf optimizer approach is utilized to develop a novel energy management system for SPV-based microgrid considering modern power grid interactions. The proposed approach aims to provide a proficient microgrid that utilizes solar photovoltaic technology, and energy storage systems using an artificial intelligence algorithm-based microgrid control for optimal dispatch of energy in grid-connected systems. The performance of this novel energy management system is validated under sunny day and cloudy day, to emulate the stochastic nature of solar photovoltaic systems. A comparative study with mixed linear programming is also conducted that indicates towards the savings in 23.34% and 45.55% of the rolling cost for a clear and cloudy day respectively.",Novel AI Based Energy Management System for Smart Grid With RES Integration,https://ieeexplore.ieee.org/document/9628127/
,"Supply chain (SC) processes are complex and have been the subject of many optimization studies. The optimization of the SC is pivotal for the success of a business. optimizing SC usually requires rapid responses and additional resources, resulting in increased energy demand that in turn yields augmented CO<inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</inf> emission. The advent of the Artificial Intelligence (AI) has delivered alternative optimization opportunities when adopted as a digital tool. This research provides insights into AI application for optimizing SC processes in order to decrease energy demand and CO<inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</inf> emission. The AI engine is based on a Cyber Physical System (CPS) developed using business activities as defined by business processes. A Monte Carlo simulation is adopted to ensure that the baseline (CPS) model is statistically representative. The probability functions and results of2400 runs are extracted and inputted into Python code to generate ordinary least square (OLS) multiple linear regression model. The results of the OLS are used to create energy optimization formula to reduce CO<inf xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</inf> emission and yield sustainable energy in the SC.",Supply Chain Energy Sustainability with Artificial Intelligence,https://ieeexplore.ieee.org/document/9488609/
,"Machine learning has the ability to dramatically improve sustainable systems by anticipating needs, maximizing resource use, raising output, and lowering waste. An overview of earlier studies on the incorporation of machine learning into sustainable systems is presented together with a case study of how machine learning was used to lower energy use in a residential structure. The results show that machine learning may be used to increase energy efficiency and save a lot of money. Wearable technology has added a whole new dimension to the already vast field of personal electronics. The mobile phone gave devices their true individuality. Because so many services are designed around mobile phones, the market has opened up for a brand-new personalized experience utilizing wearable technologies. Fabric sensors may now be combined with wearable microcontrollers like the flora and lily pad to monitor stretch, pressure, bend, and even the direction that the body is being braced. The connections between them are based on conductive threads that follow the curve of the fabric. We'll examine how different teams used their in-depth understanding of wearable technologies to accomplish their goals in this study.",The use of machine learning (ML) in sustainable systems-An Overview,https://ieeexplore.ieee.org/document/10141326/
,"One of the pillars of the global economy, the cement industry, faces multiple pressures to maintain its profitability and sustainability. Environmental regulations and higher cost of energy require an optimum operation to satisfy demand at the lowest cost but still satisfying any business constraints. Over the past decades, cement companies have invested in control systems, process data historians, and instrumentation to be more efficient and competitive in the marketplace. With the arrival of the next generation of manufacturing driven by Industry 4.0, cloud computing and artificial intelligence (AI) offer more opportunities to take the current efficiency to a higher level. This paper describes the implementation of optimal control of the clinker cooler to achieve sustained energy recovery while safeguarding the safety of the operation of this asset and supporting a better operation of the pyro-process.",Implementation of Artificial Intelligence Technology to Optimize Clinker Coolers,https://ieeexplore.ieee.org/document/10143781/
,"Energy is essential for the sustainable development of nations. Increasing population growth, along with expected increases in duration and intensity of extreme weather, can increase energy demands. There is the potential for further interruption if companies do not appropriately account for an increase in demand, especially with the state and federal agencies implementing a transition to clean energy production by the end of the decade. In order to assess energy demand with changing variables, we conduct energy demand analysis in a moderate emissions scenario in the residential sector that consumes the most energy of all energy sectors. We assess changes in energy demand by comparing results from the data mining / machine learning techniques of Support Vector Machines (SVM) and Artificial Neural Network (ANN). Our results are helpful in contributing to sustainable energy goals in line with smart environment initiatives via greenness and energy efficiency.",Analyzing Land Use Change and Climate Data to Forecast Energy Demand for a Smart Environment,https://ieeexplore.ieee.org/document/9741210/
,"To minimize the anticipated shocks to economic, environmental, and social systems for developing and least developed countries, the reduction of Greenhouse Gas (GHG) emissions is mandatory to a large extend. The nuclear-renewable integrated system is proficient in optimal energy distribution to multiple production schemes to reduce GHG emissions and maximize profit. This paper addresses the hybridization of the micronuclear reactor and Renewable Energy Sources (RESs) Energy Sources (RESs) to develop a flexible, cost-effective, sustainable, and resilient off-grid Hybrid Energy System (HES). The paper presents three types of hybridization methods, termed “Direct Coupling,” “Single Resource and Multiple products-based Coupling,” and “Multiple Resources and Multiple products-based Coupling.” The hybridization techniques are used to plan and identify the most efficient Nuclear-Renewable Micro-Hybrid Energy System (N-R MHES). The sizing, performance, and characterization of N-R MHES solely depend on the RES and load characteristics' availability. Based on proposed hybridization techniques, mathematical modeling of N-R MHES's economy is carried out in the MATLAB environment. An artificial intelligence optimization algorithm, namely Particle Swarm Optimization (PSO), is used to minimize the Net Present Cost (NPC) and achieve the optimal system configurations of different N-R MHESs. The simulation results determine that “Multiple Resources and Multiple Products-based N-R MHES” provides around 1.8 times and 1.3 times lower NPC than “Single Resource and Multiple products-based Coupling” and “Multiple Resources and Multiple products-based Coupling,” respectively, with an acceptable margin of reliability. A sensitivity analysis has also been conducted in this paper to strengthen the findings of the study.",Optimal Planning of Nuclear-Renewable Micro-Hybrid Energy System by Particle Swarm Optimization,https://ieeexplore.ieee.org/document/9208662/
,"Communities using Sustainable Energy Systems (RES) seek to meet their electrical needs while reducing their reliance on public utilities by integrating renewable energy sources. Additionally, an intelligent micro grid makes it simple to access services for controlling energy use, which might lower utility costs for locals. These infrastructures are influenced by ML technologies, big data, AI, the IoT, and sensor technologies. New advancements in ML technology are required to produce precise learning approaches that can be used in the electricity analytical process, such as such monitoring, forecasting, prediction, scheduling, and decision-making. This will improve power control assistance and the spread of renewable energy sources. However, as the complexity of issues with the smart grid system, such as non-linearity and unpredictability, rises, so does the complexity of the resulting energy data format. The learning process cannot be completed by the fundamental ML approach since it can only evaluate fundamental raw data. Therefore, despite the data’s intricate and extensive structure, the Deep Learning (DL) approach may be used. A Convolutional Neural Network (CNN) will be developed in this study as a learning model to provide precise forecasts of future power usage and renewable energy installations. The echo state network is used to learn temporal features once interesting patterns have been retrieved from the past using the convolution process. The resultant spatiotemporal feature representation is ultimately given to fully connected layers for prediction. The proposed method was developed after thorough testing of both deep learning and machine learning models. When compared to state-of-the-art models, the results show that the recommended model performs as a model for energy equilibrium among production resources and consumers, with significant decreases in forecasting errors using MAE, MSE, RMSE, and NRMSE metrics.",Renewable Energy Systems Energy Modeling using Deep Learning Techniques,https://ieeexplore.ieee.org/document/10101286/
,"Currently one of the main sources of renewable energy is solar energy, which is presented as an alternative energy for sustainable development in protecting the planet. Solar farms are large areas of land where large amount of solar panels are connected together. Adding intelligence to control systems in solar farms allows monitoring and managing tasks, therefore is possible to detect malfunctions in the equipment and solves it. This paper presents a multi-agent monitoring system for a solar farm, that allows controlling the main indicators of solar panels such as power, current, voltage and position, with the aim of early fault detection in the panels and bring out actions for better performance.",Low-cost monitoring system for solar farm using agent technology,https://ieeexplore.ieee.org/document/7016439/
,"Internet of Things (IoT) plays an important role in connecting everything together and to the Internet through specific protocols for information exchange and communications. It helps in achieving use cases such as intelligent recognition, location, tracking, monitoring and management. For large organizations, the focus is on developing smart campuses or leasing them which are sustainable and provide user experience. Sustainability focuses on being carbon neutral, energy efficiency, water usage reduction, green energy requires the IoT based implementation to deploy new projects and use cases. This paper presents a five layered Framework helping in implementing the sustainability leveraging basic ecosystem. It integrates the new use cases towards the connected ecosystem and responding to requirements quickly. These large campuses are replica of smart cities and multiple technological innovations in new technologies such as IoT, Artificial Intelligence (AI), Machine Learning (ML) is leveraged in bringing the ecosystem together for implementing applications and making the campuses smart and efficient.",IoT based Framework for Smart Campus: COVID-19 Readiness,https://ieeexplore.ieee.org/document/9210382/
,"Quantum computing is an emerging technology (QC). Several groups and research institutions are working to make quantum computing applications a reality. Artificial Intelligence (AI) is another emerging field that is becoming more established over time. The main goal of this research is to figure out how the advancement of quantum computing technology will affect AI applications. Computational methods are used to explore the growing influence of quantum computing development for a specific AI application. This study also discusses about the impact and potential of Quantum Computing (QC) on Artificial Intelligence (AI). These can be accomplished by employing cutting-edge methods to deliver usable, economically viable, and scalable technology across a wide range of industries. On the other hand, the risk of committing errors in quantum algorithms, as well as the inability to function without being super-cooled, emerges as a major challenge. Macro-energy systems and the development of sustainable energy materials are just two areas of science and engineering that quantum computing has the potential to completely transform.",A Detailed Investigation on Potential Impact of Quantum Computing on Improving Artificial Intelligence,https://ieeexplore.ieee.org/document/10099821/
,"The transportation sector in the US consumes 28% of total energy consumption for transporting people and goods. Roughly 92% of transportation is fueled by gasoline, diesel and jet fuel, with electricity providing less than 1% of transportation energy (2018) [1]. The introduction of electric vehicles (EVs) on the road is growing at the rate of 40% Y-o-Y [2], leading to ever increasing demand on grid supplied energy to recharge these EVs. 60% of grid energy is generated from nonrenewable (NR) sources (coal & natural gas). Expending NR sources to service EVs is neither sustainable nor desirable when long term effects are considered. Since EVs are still in their initial stages of mass adoption in the US, an updated and scalable approach to servicing the growing EV energy need is required. One such approach in which existing transport infrastructure (gas stations, roads, trucks etc) are multi-purposed with scalable, feasible modifications is presented in this paper. Furthermore the possibility of optimizing the energy capture-storage-usage (CSU) cycle using big-data and artificial intelligence (AI) is also explored.","Utilizing Transportation Infrastructure, Big Data and AI for Localized EV Energy Neutrality",https://ieeexplore.ieee.org/document/8976625/
