,date,abstract,title,Unnamed: 0
10,"Volume 138, March 2021, 110519","The real-time implementation of wave energy control leads to non-causality as the wave load that comes in the next few seconds is used to optimize the control command. The present work tackles non-causality through online forecasting of future wave force using artificial intelligence technique. The past free surface elevation is used to forecast the incoming wave load. A feedforward artificial neural network is developed for the forecasting, which learns to establish the intrinsic link between past free surface elevation and future wave force through machine learning algorithm. With the implementation of the developed online wave force prediction algorithm, a real-time discrete control algorithm taking constraint on response amplitude into account is developed and implemented to a bi-oscillator wave energy converter in the present research. The dynamic response and the wave power extraction are simulated using a state-space hydrodynamic model. It is shown that the developed real-time control algorithm enhances the power capture substantially whereas the motion of the system is hardly increased. The prediction error effect on power extraction is investigated. The reduction of power extraction is mainly caused by phase error, whilst the amplitude error has minimal influence. A link between the power capture efficiency and the constraint on control is also identified.",Development of a constraint non-causal wave energy control algorithm based on artificial intelligence,
11,"Volume 199, 1 November 2019, 112021","Solar energy is a renewable energy resources that is available across the world. A solar dish/Stirling system means a parabolic dish concentrator and a Stirling engine combined to generate mechanical and/or electrical output power. In this system, the input energy of Stirling engine is provided by sunlight as a source of heat. This study presents the effect of different variables on the power generation and efficiency of the system. In addition, artificial intelligence approach is employed to model a solar dish/Stirling system. For this target, a huge dataset was provided by considering a wide range of input variables. The intelligent methods are group method of data handling (GMDH) type neural network, adaptive neuro-fuzzy inference system (ANFIS) and multilayer perceptron (MLP) neural network (ANN). The MLP and ANFIS are optimized with particle swarm optimization (PSO) and genetic algorithm (GA). The intelligent methods are trained with inputs and targets. The considered input parameters are the ratio of focal point to dish diameter, hour of day, solar radiation, geometric concentration factor and working gas specific constant. The power generation, global efficiency, heat used to run the Stirling cycle, hot Stirling chamber temperature and engine speed are selected to be the targets. The results depict that the intelligent methods operate successfully for energy modeling of the solar dish/Stirling system and the statistical indicators illustrate that the ANFIS-PSO method performs better than the other developed methods.",Energy modeling of a solar dish/Stirling by artificial intelligence approach,
12,"Volume 79, September 2021, 102176","Urban and peri-urban communities across the Global South face considerable energy access challenges with over one billion people living without adequate access to basic services such as energy, water, and healthcare. Lack of access to modern energy services has cascading effects on the United Nations 2030 Agenda and the achievement of the corresponding Sustainable Development Goals (SDGs). In this article we address this issue, using the SDGs as a framework to evaluate how policies and plans for local energy access can be coordinated with all SDG Targets. With a case study in Kibera, Kenya, we analyse how local energy access could enable or inhibit all local SDG Targets. Based on this knowledge, we propose a set of actions to achieve full modern energy access without compromising other local Sustainable Development Goals. We propose a new taxonomy to evaluate how actions affect the interlinkages between local energy access and the achievement of the SDGs. We find that the SDGs, applied as a framework to direct national policies and strategic projects, offer a holistic outlook, helping to unpack discrete thinking and support an integrated sustainable future for all.",Sustainable energy for slums? Using the Sustainable Development Goals to guide energy access efforts in a Kenyan informal settlement,
13,"Volume 6, Issue 4, December 2021, Pages 379-391",Oil and gas industries are facing several challenges and issues in data processing and handling. Large amount of data bank is generated with various techniques and processes. The proper technical analysis of this database is to be carried out to improve performance of oil and gas industries. This paper provides a comprehensive state-of-art review in the field of machine learning and artificial intelligence to solve oil and gas industry problems. It also narrates the various types of machine learning and artificial intelligence techniques which can be used for data processing and interpretation in different sectors of upstream oil and gas industries. The achievements and developments promise the benefits of machine learning and artificial intelligence techniques towards large data storage capabilities and high efficiency of numerical calculations. In this paper a summary of various researchers work on machine learning and artificial intelligence applications and limitations is showcased for upstream and sectors of oil and gas industry. The existence of this extensive intelligent system could really eliminate the risk factor and cost of maintenance. The development and progress using this emerging technologies have become smart and makes the judgement procedure easy and straightforward. The study is useful to access intelligence of different machine learning methods to declare its application for distinct task in oil and gas sector.,Application of machine learning and artificial intelligence in oil and gas industry,
14,"Volume 109, 15 May 2020, Pages 231-246","The waste management processes typically involve numerous technical, climatic, environmental, demographic, socio-economic, and legislative parameters. Such complex nonlinear processes are challenging to model, predict and optimize using conventional methods. Recently, artificial intelligence (AI) techniques have gained momentum in offering alternative computational approaches to solve solid waste management (SWM) problems. AI has been efficient at tackling ill-defined problems, learning from experience, and handling uncertainty and incomplete data. Although significant research was carried out in this domain, very few review studies have assessed the potential of AI in solving the diverse SWM problems. This systematic literature review compiled 85 research studies, published between 2004 and 2019, analyzing the application of AI in various SWM fields, including forecasting of waste characteristics, waste bin level detection, process parameters prediction, vehicle routing, and SWM planning. This review provides comprehensive analysis of the different AI models and techniques applied in SWM, application domains and reported performance parameters, as well as the software platforms used to implement such models. The challenges and insights of applying AI techniques in SWM are also discussed.",Artificial intelligence applications in solid waste management: A systematic research review,
15,"Volume 117, March 2020, 102531","The environmental costs and energy constraints have become emerging issues for the future development of Machine Learning (ML) and Artificial Intelligence (AI). So far, the discussion on environmental impacts of ML/AI lacks a perspective reaching beyond quantitative measurements of the energy-related research costs. Building on the foundations laid down by Schwartz et al. (2019) in the GreenAI initiative, our argument considers two interlinked phenomena, the gratuitous generalisation capability and the future where ML/AI performs the majority of quantifiable inductive inferences. The gratuitous generalisation capability refers to a discrepancy between the cognitive demands of a task to be accomplished and the performance (accuracy) of a used ML/AI model. If the latter exceeds the former because the model was optimised to achieve the best possible accuracy, it becomes inefficient and its operation harmful to the environment. The future dominated by the non-anthropic induction describes a use of ML/AI so all-pervasive that most of the inductive inferences become furnished by ML/AI generalisations. The paper argues that the present debate deserves an expansion connecting the environmental costs of research and ineffective ML/AI uses (the issue of gratuitous generalisation capability) with the (near) future marked by the all-pervasive Human-Artificial Intelligence Nexus.",The future of human-artificial intelligence nexus and its environmental costs,
16,"Volume 63, December 2020, 102364","In the digital era, the smart city can become an intelligent society by utilizing advances in emerging technologies. Specifically, the rapid adoption of blockchain technology has led a paradigm shift to a new digital smart city ecosystem. A broad spectrum of blockchain applications promise solutions for problems in areas ranging from risk management and financial services to cryptocurrency, and from the Internet of Things (IoT) to public and social services. Furthermore, the convergence of Artificial Intelligence (AI) and blockchain technology is revolutionizing the smart city network architecture to build sustainable ecosystems. However, these advancements in technologies bring both opportunities and challenges when it comes to achieving the goals of creating a sustainable smart cities. This paper provides a comprehensive literature review of the security issues and problems that impact the deployment of blockchain systems in smart cities. This work presents a detailed discussion of several key factors for the convergence of Blockchain and AI technologies that will help form a sustainable smart society. We discuss blockchain security enhancement solutions, summarizing the key points that can be used for developing various blockchain-AI based intelligent transportation systems. Also, we discuss the issues that remain open and our future research direction, this includes new security suggestions and future guidelines for a sustainable smart city ecosystem.",Convergence of blockchain and artificial intelligence in IoT network for the sustainable smart city,
17,"Volume 18, Issue 1, March 2020, 100330","Artificial intelligence (AI) is rapidly opening up a new frontier in the fields of business, corporate practices, and governmental policy. The intelligence of machines and robotics with deep learning capabilities have created profound disrupting and enabling impacts on business, governments, and society. They are also influencing the larger trends in global sustainability. As the AI revolution transforms our world, it could herald a utopian future where humanity co-exists harmoniously with machines, or portend a dystopian world filled with conflict, poverty and suffering. More immediately, would AI accelerate our progress on the United Nations (UN) Sustainable Development Goals (SDGs) or bring us further down the path toward greater economic uncertainty, environmental collapse, and social upheaval? What are some of the implications for business leadership and the education of future business leaders? This article aims to address these questions by analyzing the impacts of AI in three case studies. It draws some preliminary inferences for management education and the business of leading corporations in the midst of rapid technological and social change. This study combines the perspectives of business strategy and public policy to analyze the impacts of AI on sustainable development with a specific focus on the advancement of the SDGs. It also draws some lessons on managerial learning and leadership development for global sustainability.",Artificial intelligence and sustainable development,
18,"Volume 417, 1 August 2021, 128070","Efforts are currently in progress to commercialize membrane bioreactor (MBR) technologies already developed at laboratory and pilot scale. To attain this goal, the efficiency of MBRs needs to be high, and they should be sustainable, reliable and cost-effective. Adoption of artificial intelligence (AI) is anticipated to have a positive impact on these criteria. This paper covers the AI-based models used in the treatment of wastewater from various sources, and discusses the advantages and disadvantages of each model. The existing gaps to push for the commercialization of MBR technologies are discussed to provide state-of-the-art insights for future research. The conclusions and discussions presented in this review show that AI models are useful to predict the performance of MBR technologies to recover clean water from polluted sources. However, further efforts are still needed to reach an excellent match between the predictions made by the AI-based techniques and the experimental results to deal with high strength and highly polluted effluents. This can be achieved through modification and/or integration of the existing AI-based methods. Also, the development of appropriate variables to optimize the performance of MBRs, and improving their efficiency to deal with recalcitrant pollutants such as contaminants of emerging concern (CECs) are among the priorities to promote the application of MBR technologies in real-scale applications.",Artificial intelligence as a sustainable tool in wastewater treatment using membrane bioreactors,
19,"Volume 61, February 2020, Pages 217-225","Human population growth and accelerated climate change necessitate agricultural improvements using designer crop ideotypes (idealized plants that can grow in niche environments). Diverse and highly skilled research groups must integrate efforts to bridge the gaps needed to achieve international goals toward sustainable agriculture. Given the scale of global agricultural needs and the breadth of multiple types of omics data needed to optimize these efforts, explainable artificial intelligence (AI with a decipherable decision making process that provides a meaningful explanation to humans) and exascale computing (computers that can perform 1018 floating-point operations per second, or exaflops) are crucial. Accurate phenotyping and daily-resolution climatype associations are equally important for refining ideotype production to specific environments at various levels of granularity. We review advances toward tackling technological hurdles to solve multiple United Nations Sustainable Development Goals and discuss a vision to overcome gaps between research and policy.",Can exascale computing and explainable artificial intelligence applied to plant biology deliver on the United Nations sustainable development goals?,
20,"Volume 2, November 2020, 100036","Sustainable chemistry for renewable energy generation and green synthesis is a timely research topic with the vision to provide present needs without compromising future generations. In the era of Industry 4.0, sustainable chemistry and process are undergoing a drastic transformation from continuous flow system toward the next level of operations, such as cooperating and coordinating machine, self-decision-making system, autonomous and automatic problem solver by integrating artificial intelligence, data and hardware in the cyber-physical systems. Due to the lack of convergence between the physical and cyber spaces, the open-loop systems are facing challenges such as data isolation, slow cycle time, and insufficient resources management. Emerging researches have been devoted to accelerating these cycles, reducing the time between multistep processes and real-time characterization via additive manufacturing, in-/on-line monitoring, and artificial intelligence. The final goal is to concurrently propose process recipes, flow synthesis, and molecules characterization in sustainable chemical processes, with each step transmitting and receiving data simultaneously. This process is known as âclosing the loopâ, which will potentially create a future lab with highly integrated systems, and generate a service-orientated platform for end-to-end synchronization and self-evolving, inverse molecular design, and automatic science discovery. This perspective provides a methodical approach for understanding cyber and physical systems individually, enabled by artificial intelligence and additive manufacturing, respectively, in combination with in-/on-line monitoring. Moreover, the future perspective and key challenges for the development of the closed-loop system in sustainable chemistry and process are discussed.","The future of sustainable chemistry and process: Convergence of artificial intelligence, data and hardware",
21,"Volume 75, December 2021, 103265","Smart cities are claimed to be smart if the new technologies are capable of providing desired sustainable outcome. The sustainable properties of smart city applications require less energy consumption and efficient resource allocation. The Internet-of-Things (IoT), 5G, and fog networks have emerged as the most crucial researched areas due to their numerous applications for smart cities to provide the desired sustainable outcome. The sustainable properties of Wireless Sensor Networks (WSNs) play a vital role in the deployment of these technologies into the physical world and efficient utilization of the available spectrum is a major problem faced here. As a potential solution of this, Cognitive Radio (CR) merged with WSN as Cognitive Radio Sensor Networks (CRSNs) make the smart perspective with high resource management through cooperative communication. The proposed work establishes a dynamic correlation between Secondary Users/nodes (SUs) in a single cluster according to their statistical behavior at the time of performing smart cooperative communication in CRSNs to improve sustainability of smart world IoT applications. Distributed Artificial Intelligence (DAI) is used to calculate the real-time resource allocation to these clusters using their respective Coordinator Agent (CoA) based on the dynamic behaviors. To improve sustainability in the smart city applications, the time delay in the prediction of vacant channels is reduced which results in making these applications become more energy efficient. The effectiveness of the proposed work is illustrated with mathematical analysis and simulation results confirm its better sustainable performance compared to the existing techniques.",Distributed Artificial Intelligence Empowered Sustainable Cognitive Radio Sensor Networks: A Smart City on-demand Perspective,
22,"Volume 285, 20 February 2021, 125242","Firms are developing AI-enhanced products (e.g., robots) that can tackle environmental problems through autonomous interactions with their surroundings (e.g., removing waste/pollutants, tracking invasive species) and autonomous learning, which results in improved environmental performance characteristics. Such autonomous environmental benefits of products differ from conventional, static environmental benefits, which derive from pre-purchase processes and design decisions. However, the literature still lacks knowledge of how to use such autonomous environmental benefits to attract new customers. Therefore, drawing on signaling theory, this study examines the effect of these environmental benefits on a consumerâs purchase intent and its variation across types of consumers, locations, and products. Based on hierarchical linear modeling of 1635 consumer evaluations of AI-enhanced products, this study finds that both static and autonomous perceived environmental benefits influence purchase intent positively. The effect of autonomous environmental benefits is stronger for women than for men and for products targeted at adults rather than children. The effect of static environmental benefits is stronger for men than women, for products targeted at children rather than adults, for consumers with a higher need for cognition, and in locations with a higher perceived environmental well-being.","Artificial intelligence-enabled environmental sustainability of products: Marketing benefits and their variation by consumer, location, and product types",
23,"Volume 340, November 2021, 125642","Bioenergy may be a major replacement of fossil fuels which can make the path easier for sustainable development and decrease the dependency on conventional sources of energy. The main concern with the bioenergy is the availability of feedstock, dealing with its economics as well as its demand and supply chain management. This review deals with the finding of distinct potential of different Artificial Intelligence technologies focusing the challenges in bioenergy production system and its overall improvement in application. The study also highlights the contribution of Artificial Intelligence techniques for the prediction of energy from biomass and evaluates the computing-reasoning techniques for managing bioenergy production, biomass supply chain and optimization of process parameters for efficient bioconversion technologies.",Production of biofuels from biomass: Predicting the energy employing artificial intelligence modelling,
24,"Volume 224, August 2021, Pages 373-389","Designing high-rise buildings is one of the complex tasks of architecture because it involves interdisciplinary performance aspects in the conceptual phase. The necessity for sustainable high-rise buildings has increased owing to the demand for metropolises based on population growth and urbanisation trends. Although artificial intelligence (AI) techniques support swift decision-making when addressing multiple performance aspects related to sustainable buildings, previous studies only examined single floors because modelling and optimising the entire building requires extensive computational time. However, different floor levels require various design decisions because of the performance variances between the ground and sky levels of high-rises in dense urban districts. This paper presents a multi-zone optimisation (MUZO) methodology to support decision-making for an entire high-rise building considering multiple floor levels and performance aspects. The proposed methodology includes parametric modelling and simulations of high-rise buildings, as well as machine learning and optimisation as AI methods. The specific setup focuses on the quad-grid and diagrid shading devices using two daylight metrics of LEED: spatial daylight autonomy and annual sunlight exposure. The parametric model generated samples to develop surrogate models using an artificial neural network. The results of 40 surrogate models indicated that the machine learning part of the MUZO methodology can report very high prediction accuracies for 31 models and high accuracies for six quad-grid and three diagrid models. The findings indicate that the MUZO can be an important part of designing high-rises in metropolises while predicting multiple performance aspects related to sustainable buildings during the conceptual design phase.","Multi-zone optimisation of high-rise buildings using artificial intelligence for sustainable metropolises. Part 1: Background, methodology, setup, and machine learning results",
25,"Volume 248, 1 March 2020, 119201","This work was developed to implement and apply a theatre playwriting technique for an art-based research in the domain of social sustainability of artificial intelligence and robotization. The use of artistic media, instead of the prevalent technical and normative approaches to sustainability, allows to develop a reflective aesthetic enquiry, supporting a âlearning by heartâ, that should parallel analytical thinking. First, some key methodological elements to be applied to the playwriting process were defined. In particular, the process of interactive meaning-making among researchers, the multisensory knowing as forms of expression of the self and creativity and the experience of action. Moreover, the integration scientific knowledge, the communication of complexity and the focus of feelings, as element of authenticity, were considered. The methodological elements were integrated into the writing process of âThe Wizard of RobOzâ, inspired by Baumâs novel, âThe Wonderful Wizard of Ozâ. The play focused on human identity, in contrast to robot identity. Feelings (altruism and love) emerged as the core of good choices. The contrast between human and non-human agents, was, then, resolved considering the importance of design in obtaining a good integration between the two worlds. The topic of the play is relevant at societal level, due to the foreseen transition to a âsociety 5.0â, where humans and non-human agents will have to be integrated. The evaluation phase showed that a coherent and structure story was generated though the fixed technique. However, the perceived authenticity and resonance evaluation should be implemented with further work. The focus on social sustainability of robotization and AI constituted a novelty with respect to previous works, which only investigated the technological application of robots to theatre. the use of a scientific literature review to support the brainstorming phase served to implement the integration between science and art. Another element of innovation was the use of professional performers, instead than scientists. In parallel, this play allowed to apply an open source robot design, building and programming for theatrical purpose. The large participation of public to the representation showed the potentiality to transfer this playwriting technique into the domains of new education and communication projects. However, it would be recommended to integrate, within the research and meaning-making process, the other dimensions of sustainability, as well as a relevant presence of ethical reasoning.",A playwriting technique to engage on a shared reflective enquiry about the social sustainability of robotization and artificial intelligence,
26,"2021, Pages 327-353","The idea of Smart Cities has been one of the key driving factors for the urban transformation to a low carbon climate, sustainable economy and mobility in recent years because of the alarming situation of global warming. One of the industries with swift growth is hotel sector and hence is one of the key contributors to carbon emission and leaves environment footprints. The new emerging concept of sustainable tourism is envisaged as an important part of the Smart Cities paradigm. Improving sustainability by saving energy is becoming a primary task toady for many hotels. A great opportunity is provided by Artificial Intelligence (AI) and Internet of Things (IoT) to assimilate different systems on a platform by encouraging and assisting hotel guests to operate through single device and optimizing hotel operations. Current research focuses to identify the strategic positions of a hotel in terms of sustainability, AI and IoT technology. Components that will be considered by Hotels for the strategic intention of adopting AI and IoT for environmental sustainability. Different development and modification needed to be taken if management wants high sustainability readiness and/or IoT readiness. This conceptual paper constructs on the comprehensive study and systematic review of different area where the hotels can feasibly implement AI and IoT for improving sustainably.",Artificial Intelligence and Internet of Things readiness: inclination for hotels to support a sustainable environment,
27,"Volume 54, Issue 1, 2021, Pages 1041-1046","Manufacturing industry is seeing an explosion in data availability, with potential for desired optimisation of productive systems. For instance, additive manufacturing is a novel technology that is currently advancing fast and constantly. As the physics of additive manufacturing are complex there are cases where it is of interest to monitor the process, and further to this, a potential objective is to optimize process parameters. Analytics and decision support technologies can support optimisation from data and expert knowledge. We present current status of analytics methodologies, which have not been updated in years. Also, we introduce an additive manufacturing process, laser cladding. From this context, this paper presents a methodology proposal, and further to this, applicability in a laser cladding scenario. A set of experiments is performed and quality of results, both in terms of porosity and dimensionality, assessed. A study of correlation is centred on data analysis for extracting relationships among the process data and process parameters with respect to the quality of the test outcome. As a result, in our study porosity showed up as the hardest to generate and to model of the two quality indicators studied, with the model attaining modest results, while results for dimensionality were better, and various variables showed importance for correlations.",Artificial Intelligence Methodology for Smart and Sustainable Manufacturing Industry,
