,abstract,title,month,year
10,"Optimal implementation of urban wind energy contributes towards the development of sustainable cities. This paper focuses on generating an adequate database to use with artificial intelligence (AI) tools to improve the generation of urban wind energy. The paper presents wind tunnel results for square, rectangular, U-shaped, T-shaped, L-shaped buildings and some measurement points in various city configurations. Moreover, the effect of building shapes on turbine street level locations was elaborated using validated CFD literature results on pedestrian level wind conditions. Using these results and literature review from the past decade, a decisional flow chart approach was developed, allowing a preliminary assessment of the modification of upstream wind velocities due to urban parametric conditions. Expert and artificial neural network (ANN) systems were built and tested on city configurations with their results compared with those from wind tunnel measurements. The ANN system shows better predictive values than the expert system, with up to 99% success rate. AI programs with the decisional flow chart approach may be used for the identification and assessment of potential turbine locations to maximize the production of urban wind energy.",Application of artificial intelligence to urban wind energy,June,2021
11,"In the path to sustainable development, it is very necessary to use technology in the right way. Today's world involves the usage of various energy-efficient devices in our day-to-day lives that leads to optimal utilization of energy. In this research work, the design and implementation of a smart home system model is proposed that can control all the electrical equipment as well as monitor the usage of every device being used in the smart home. The system will use the combination of artificial intelligence and Internet of Things technologies. This system will be useful for all individuals in their daily life to find comfort. The system not only optimizes the energy usage, but instead it also stands by the emergence of equipment that makes it a complete smart home package. The proposed system will monitor all the inputs and outputs throughout the house. These inputs and outputs may be a person, electricity, or water supply. This system will help in improving the current standard of living by monitoring these inputs. The water monitoring system will monitor the quality of water and its resources. These resources may be the groundwater or the treated water from rainwater harvesting. Similarly, it can be used even after the resources have been depleted; for example, the proposed system has to work for fulfilling todayâs requirement of renewable sources of energy. This is done by using artificial intelligence in the system that will calculate the usage, and according to it, the system will switch to a hybrid mode that will use the solar energy and store extra charge in the battery.",Intelligent Smart Home Energy Efficiency Model Using Artificial Intelligence and Internet of Things,,2021
12,"In the current era, waste management activities, including energy and material recycling, may create indirect environmental impacts beyond waste management systems. Energy waste is used to reproduce different products, such as electricity, heat, compost, and biofuels. Effective environmental protection depends on the quality of the information available for a proper decision. Reliable data collection is essential to facilitate planning processes in the effective planning of waste management. In this paper, the Machine learning-driven Predictive Analytic framework (MLDPAF) has been proposed to prepare energy and waste management. Firstly, with a neural network, the amount of waste is predicted. An enhanced machine learning algorithm further improves waste collection on energy costs based on volatile sustainable energy markets. Findings showed that proposed algorithms based on machine learning have been used successfully to generate efficient waste models. The simulation analysis shows that the analysis of waste quantity reduced by 90% using the proposed method, landfill analysis as 40%, and transportation reduced by 15%.",Artificial intelligence for planning of energy and waste management,October,2021
13,"In this paper, we present a newly developed eXplainable artificial intelligence (XAI) model to analyze the impacts of climate change on the cooling energy consumption (
E
c
) in buildings, predict long-term
E
c
under the new shared socioeconomic pathway (SSP) climate change scenarios, and explain the underlying reasons behind the predictions. Such analyses and future predictions are imperative to allow decision-makers and stakeholders to accomplish climate-resilient and sustainable development goals by leveraging the power of meaningful and trustworthy projections and insights. We demonstrated that the XAI is capable of predicting the
E
c
under future climate scenarios with high accuracy (
R
2
>
0
.
9
) and reveals the critical inflection points of the daily average outdoor air temperature (
T
a
) beyond which the
E
c
increase exponentially. We applied the XAI model for residential and commercial buildings in hotâhumid and mixedâhumid climate regions to quantify the incremental impacts of climate change on
E
c
under the different SSPs. The XAI-based analysis concluded positive and persistent incremental changes in the
E
c
from 2020 to 2100 under all future SSP scenarios, with the maximum incremental impact of 24.5%, 33.3%, 57.8%, and 87.2% in hotâhumid and 37.1%, 47.5%, 85.3%, and 121% in mixedâhumid climate regions under the sustainable green energy (SSP126), business-as-usual (SSP245), challenges to adaptation (SSP370), and increased reliance on fossil fuels (SSP585) scenarios, respectively. Potential increases in the
E
c
in future climates could have significant adverse impacts on the local and regional economy if necessary adaptation and mitigation measures are not implemented a priori.",Scenario-based prediction of climate change impacts on building cooling energy consumption with explainable artificial intelligence,June,2021
14,"Enormous amounts of data are being produced everyday by sub-meters and smart sensors installed in residential buildings. If leveraged properly, that data could assist end-users, energy producers and utility companies in detecting anomalous power consumption and understanding the causes of each anomaly. Therefore, anomaly detection could stop a minor problem becoming overwhelming. Moreover, it will aid in better decision-making to reduce wasted energy and promote sustainable and energy efficient behavior. In this regard, this paper is an in-depth review of existing anomaly detection frameworks for building energy consumption based on artificial intelligence. Specifically, an extensive survey is presented, in which a comprehensive taxonomy is introduced to classify existing algorithms based on different modules and parameters adopted, such as machine learning algorithms, feature extraction approaches, anomaly detection levels, computing platforms and application scenarios. To the best of the authorsâ knowledge, this is the first review article that discusses anomaly detection in building energy consumption. Moving forward, important findings along with domain-specific problems, difficulties and challenges that remain unresolved are thoroughly discussed, including the absence of: (i) precise definitions of anomalous power consumption, (ii) annotated datasets, (iii) unified metrics to assess the performance of existing solutions, (iv) platforms for reproducibility and (v) privacy-preservation. Following, insights about current research trends are discussed to widen the applications and effectiveness of the anomaly detection technology before deriving future directions attracting significant attention. This article serves as a comprehensive reference to understand the current technological progress in anomaly detection of energy consumption based on artificial intelligence.","Artificial intelligence based anomaly detection of energy consumption in buildings: A review, current trends and new perspectives",April,2021
15,"Many countries around the world are planning to reach 100% renewable energy use by 2050. In this context and due to the recent sharp increase in RE utilization in the global energy mix along with its progressive impact on the world energy sector, the evaluation and investigation of its effect on achieving sustainable development goals are not covered sufficiently. Moreover, an assessment of the emerging role of artificial intelligence for renewable energy utilization toward achieving SDGs is conducted. A total of 17 SDGs were divided into three groups, namely, environment, society, and economy, as per the three key pillars of sustainable development. Renewable energy has a positive impact toward achieving 75 targets across all sustainable development goals by using an expert elicitation method-based consensus. However, it may negatively affect the accomplishment of the 27 targets. In addition, artificial intelligence can help renewable energy enable the attainment of 42 out of 169 targets. However, with the current exponential growth of renewable energy share and artificial intelligence development and addressing certain present limitations, this impact may cover additional targets in the future. Nevertheless, recent research foci overlook essential aspects. The exponential growth of renewable energy share and rapid evolution of artificial intelligence need to be accompanied through the requisite regulatory insight and technology regulation to cover additional targets in the future.",Impact of renewable energy utilization and artificial intelligence in achieving sustainable development goals,November,2021
16,"Artificial intelligence (AI) will transform business practices and industries and has the potential to address major societal problems, including sustainability. Degradation of the natural environment and the climate crisis are exceedingly complex phenomena requiring the most advanced and innovative solutions. Aiming to spur groundbreaking research and practical solutions of AI for environmental sustainability, we argue that AI can support the derivation of culturally appropriate organizational processes and individual practices to reduce the natural resource and energy intensity of human activities. The true value of AI will not be in how it enables society to reduce its energy, water, and land use intensities, but rather, at a higher level, how it facilitates and fosters environmental governance. A comprehensive review of the literature indicates that research regarding AI for sustainability is challenged by (1) overreliance on historical data in machine learning models, (2) uncertain human behavioral responses to AI-based interventions, (3) increased cybersecurity risks, (4) adverse impacts of AI applications, and (5) difficulties in measuring effects of intervention strategies. The review indicates that future studies of AI for sustainability should incorporate (1) multilevel views, (2) systems dynamics approaches, (3) design thinking, (4) psychological and sociological considerations, and (5) economic value considerations to show how AI can deliver immediate solutions without introducing long-term threats to environmental sustainability.","Artificial intelligence for sustainability: Challenges, opportunities, and a research agenda",August,2020
17,"This study presents a broad view of the current state of the art of ML applications in the manufacturing sectors that have a considerable impact on sustainability and the environment, namely renewable energies (solar, wind, hydropower, and biomass), smart grids, the industry of catalysis and power storage and distribution. Artificial neural networks are the most preferred techniques over other ML algorithms because of their generalization capabilities. Demands for ML techniques in the energy sectors will increase considerably in the coming years, since there is a growing demand of academic programmes related to artificial intelligence in science, math, and engineering. Data generation, management, and safety are expected to play a key role for the successful implementation of ML algorithms that can be shared by major stakeholders in the energy sector, thereby promoting the development of ambitious energy management projects. New algorithms for producing reliable data and the addition of other sources of information (e.g., novel sensors) will enhance flow of information between ML and systems. It is expected that unsupervised and reinforcement learning will take a central role in the energy sector, but this will depend on the expansion of other major fields in data science such as big data analytics. Massive implementations, specialized algorithms, and new technologies like 5G will promote the development of sustainable applications of ML in non-industrial applications for energy management.","Machine learning on sustainable energy: A review and outlook on renewable energy systems, catalysis, smart grid and energy storage",October,2021
18,"Smart grid is the new trend for clean, sustainable, efficient and reliable energy generation, delivery and use. To ensure stable and secure operation is essential for the smart grid, which needs effective stability analysis and control. As the smart grid has evolved through a growing scale of interconnection, increasing integration of renewable energy, widespread operation of direct current power transmission systems, and liberalization of electricity markets, the stability characteristics of it are much more complex than the past. Due to these changes, conventional stability analysis and control approaches have a series of drawbacks in terms of speed, effectiveness and economy. On the contrary, the emerging artificial intelligence (AI) techniques provide powerful and promising tools for stability analysis and control in smart grids and have attracted growing attention. This paper aims to give a comprehensive and clear picture of recent advances in this research area. First, we present a general overview of AI, including its definitions, history and state-of-the-art methodologies. And then, this paper gives a comprehensive review of its applications to security assessment, stability assessment, fault diagnosis, and stability control in smart grids. These applications have achieved impressive results. Nevertheless, we also identify some major challenges these applications face in practice: high requirements on data, imbalanced learning, interpretability of AI, difficulties in transfer learning, the robustness of AI to communication quality, and the robustness against attack or adversarial examples. Furthermore, we provide suggestions for potential important future investigation directions to overcome these challenges and bridge the gap between research and practice.","Artificial intelligence techniques for stability analysis and control in smart grids: Methodologies, applications, challenges and future directions",November,2020
19,"Increasing sustainability demands initiate estimating various design and control opportunities for classifying energy-efficient plan ever more significant. These conditions demand simulation algorithms which are not only fast, but also accurate. Artificial intelligence (AI) enables efficient mimicry of bulk energy consumption control while producing results much faster than data-mining and machine learning models. This study proposes two AI based approaches for utilities bulk energy consumption prediction, control and management. Two different zones actual environmental and energy consumption data are obtained for input feature selection and modeling analysis. Each zone is categorized into five features parameter selection (PS) states. Each PS state is further divided into four different hidden neurons (HD) and hidden layers of the modelâs network. The forecasting duration is based on 1-month and 1-year ahead intervals for medium-term (MT) and long-term (LT) respectively. Further the current proposed modelâs performance is compared with three existing models. One of the promising findings in this research is that substantial improvement in prediction accuracy applying features extracted by PS-3 and PS-5. Results show that AI models are powerful in solving complex and nonlinear patterns of raw data. This study renders optimal decisions can be projected while utilities energy supply strategy & control, capacity expansion, capital investment research market management, revenue analysis and future load requirement forecasting.",Effective bulk energy consumption control and management for power utilities using artificial intelligence techniques under conventional and renewable energy resources,July,2019
20,"In the recent years, the Smart Grid (SG) system faces various challenges like the ever-increasing energy demand, the enormous growth of renewable energy sources (RES) with distributed energy generation (EG), the extensive Internet of Things (IoT) devices adaptation, the emerging security threats, and the foremost goal of sustaining the SG stability, efficiency and reliability. To cope up these issues there exists, the energy cloud management (ECM) system, which combines the infrastructure for energy, with intelligent energy usage and value-added services as per consumers demand. To achieve these, efficient demand-side forecasting and secure data transmission are the key factors. The energy management issues pose extreme gravity in finding sustainable solutions by using the blockchain (BC) and Artificial Intelligence (AI). AI-based techniques support various services such as energy load prediction, classification of the consumer, load management, and analysis where the BC provides data immutability and trust mechanism for secure energy management. Therefore, this paper reviews several existing AI-based approaches along with the advantages and challenges of integrating the BC technology and AI in the ECM system. We presented a decentralized AI-based ECM framework for energy management using BC and validate it using a case study. It is shown that how BC and AI can be used to mitigate ECM with security and privacy issues. Finally, we highlighted the open research issues and challenges of the BC-AI-based ECM system.","Blockchain and AI amalgamation for energy cloud management: Challenges, solutions, and future directions",September,2020
21,"Conventional refrigerants in air conditioners (A/Cs) although deliver localized comfort within dwellings, their overall detrimental impact on the environment is an alarming issue. This study investigates eco-friendly alternatives to the refrigerants R410A and R22 (which contribute to global warming and ozone depletion) through a comprehensive analysis of salient parameters such as coefficient of performance (COP), volumetric cooling capacity, and exergetic efficiency (Î·ex) featuring a sustainably retrofitted vapor compression based A/C. Diverse thermophysical properties of alternate refrigerants yield multiple options for contriving a sustainable A/C. Performance enhancement of the retrofitted system is then realized through a multifaceted genetic algorithm (GA) coupled with an artificial neural network (ANN). Subsequently, the incongruence of optimality between maximum system COP and maximum Î·ex is dealt by a dual ANN powered non dominated sorting genetic algorithm-2 (NSGA-2) optimizer which provides balanced output in terms of COP (4.37 for L20a and 4.238 for ARM71a refrigerant respectively) and Î·ex (26.208% for L20a and 25.413% for ARM71a refrigerant respectively). The artificial intelligence (AI) based approach helps comprehend the trade-off between different system performance indices (having different units/ranges of variation) during optimum design selection. Furthermore, the data-driven surrogate model reveals the dominating effect of energy performance over exergy performance of the system, urging for the higher priority of resource allocation for COP upgrade than Î·ex upgrade. Finally, the multi-objective optimization yields a broader set of Pareto optimal points which offer flexibility to the stakeholders to thrust the sustainable system towards higher COP or higher Î·ex mode of operation.",Designing a clean and efficient air conditioner with AI intervention to optimize energy-exergy interplay,November,2020
22,"Giving the high amount of carbon and energy emission from the use of traditional building materials, the use of bio-composites made from industrial crops especially hemp has caught attention from researchers in recent years. These bio-composites not only enhance the thermal performance of buildings but also promote sustainable development due to their eco-friendly nature. Due to their highly heterogeneous nature, however, most of the existing studies on the bio-composites have only focused on experimental investigations, while mathematical modeling of physical, thermal and mechanical properties of bio-composite remains a challenge for the researchers. In this paper, an artificial intelligence (AI) based gene expression programming (GEP) technique is used to develop the mathematical models for predicting the dry density, compressive strength and thermal conductivity of hemp-based bio-composites. A large amount of database was established based on past studies and the most influential parameters were identified by several trial analyses. The proposed mathematical models showed a high correlation with the experimental results. All the models passed the statistical and performance index checks showing strong predictability, generalization capability and high accuracy of GEP-AI models. Comparison of results with the regression analysis techniques further proved the superiority of GEP-AI models over the traditional methods.",Evolutionary artificial intelligence approach for performance prediction of bio-composites,July,2021
23,"With the world-wide deployment of solar energy for a sustainable and renewable future, the stochastic and volatile nature of solar power pose significant challenges to the reliable, economic and secure operation of electrical energy systems. It is therefore imperative to improve the prediction accuracy of solar power to prepare for the unknown conditions in the future. So far, artificial intelligence (AI) algorithms such as machine learning and deep learning have been widely-reported with competitive prediction performance because they can reveal the invariant structure and nonlinear features in solar data. However, these reports have not been fully reviewed. Accordingly, this paper provides a taxonomy research of the existing solar power forecasting models based on AI algorithms. Taxonomy is a process of systematically dividing solar energy prediction methods, optimizers and prediction frameworks into several categories based on their differences and similarities. We also present the challenges and potential future research directions in solar power forecasting based on AI algorithms. This review can help scientists and engineers to theoretically analyze the characteristics of various solar prediction models, thereby helping them to select the most suitable model in any application scenario.",Taxonomy research of artificial intelligence for deterministic solar power forecasting,June,2020
24,"With recent advances in artificial intelligence (AI), built environment (BE) is getting more and more closely linked to energy. A macroscopic view of smart energy (SE) and smart built environment (SBE) is provided in this paper. Categories of smart energy systems (SESs) are divided according to the trade forms. Objectives of SBE include minimizing non-renewable energy to maintain sustainable BE, minimizing carbon exhausted to guarantee green BE, and minimizing capital cost to provide economically affordable BE. The transient fraction of power (FP) in SESs has to be controlled to obtain the optimal fraction of energy (FE). The optimal FE values depend not only on system size and time scales but also on SBE objectives. A weighted maximum volume criterion is proposed to take sustainability, green, and affordability into account. Results are compared with those optimization results based on a single objective. Methodologies for promotion of SESs from technology, system optimization, demand forecasting, and holistic design views are presented. The corresponding solution for SBE is illustrated. Challenges for future SESs for SBE are also discussed.",Smart energy for smart built environment: A review for combined objectives of affordable sustainable green,February,2020
25,"Developing fuel resources is strategically crucial for Armenia. Far more than any other fossil fuel resource, coal roughly generates half the nationâs electricity. Although coal could play a critical role, no vast data is available about Armenia coal properties. Using robust modeling of energy indexes such as coal gross calorific value (GCV) by considering trivial existing datasets could be an essential clue for ensuring sustainable development. For the first time, this investigation is going to model GCV for Armenia coal samples. For this purpose, SHAP (SHapley Additive exPlanations) as a novel explainable artificial intelligence will be introduced. SHAP enables understanding the magnitude of relationships between each individual input record and its representative output and ranks input variables based on their effectiveness. SHAP was coupled by extreme gradient boosting (xgboost) as the most recently generated powerful predictive machine learning tool (SHAP-Xgboost). SHAP-Xgboost could accurately (R
2
=
0
.99) model GCV based on proximate and ultimate variables of Armenia coal samples. These significant outcomes open a new window for developing high interpretability models to assess coal properties and pinpoint the influential parameters.",Estimation of gross calorific value based on coal analysis using an explainable artificial intelligence,December,2021
26,"This Virtual Special Issue contains extensions of some of the papers presented at the 22nd Conference of Process Integration, Modelling and Optimisation for Energy Saving and Pollution Reduction (PRESâ²19) in Crete, Greece on the 20 to 23 October 2019 related to the scope of Renewable and Sustainable Energy Reviews. The works are not limited to review articles; most of them have significant contributions to knowledge development in the field of sustainable energy. The energy recovery and intensification section discusses nano-enhanced phase change materials and fluids, heat exchanger network synthesis and heat pump integration in industrial processes. Bio-based renewable energy covers biomass from algae, seaweed, municipal solid waste and food waste, which are converted into valuable products by anaerobic digestion, co-cracking, incineration and fermentation. The articles in the energy system management section focus on batteries, energy efficiency rating, low carbon transitions and wave energy integration technology screening. Lastly, the data-driven energy management section includes a few reviews on the implementation of Artificial Intelligence, Internet of Things and Industry 4.0 for the chemical industry from system to equipment levels. These developments have the same ultimate goal to bridge the gaps for achieving the average global temperatures rise target set by the United Nations Framework Convention on Climate Change.",Smart energy management and recovery towards Sustainable Energy System Optimisation with bio-based renewable energy,January,2021
27,"Integrated approaches across energy, water and environment systems can accelerate the process of mitigating climate change through urgent action. New scientific advances that extend multiple opportunities in this direction have emanated from the 2nd Latin American, 1st Asia Pacific, 4th South East European and 15th Conferences on Sustainable Development of Energy, Water and Environment Systems as represented in this editorial. The review of recent scientific advances connects the 27 research articles in this special issue with those of other researchers based on eight main themes. The first two themes relate to system flexibility for renewable energy penetration and urban solutions in the energy transition. The foci of these themes include enabling energy system flexibility, climate neutral islands, electrification solutions, optimizing urban energy systems, spatiotemporal modelling of heat demand and smart energy hubs. The next three themes relate to solar energy technologies, hydrokinetic, wind and osmotic innovations as well as bioenergy and combustion modelling. These themes include new advances for predicting and monitoring photovoltaic module performance, thermochemical energy storage for concentrated solar options, artificial intelligence for wind energy, micro-cogeneration, and wastewater utilization. The last three themes relate to batteries and hydrogen energy advances, including sector coupling opportunities, optimizing heat exchangers and networks as well as solutions for redesigning sectors and repurposing post-mining reservoirs for energy storage. There are multi-disciplinary interrelations among these themes and each contribution will support the wide-ranging opportunities for realizing the European Climate Law and any other similar targets around the world for sustaining planetary life-support systems on which sustainable development depends.","Accelerating mitigation of climate change with sustainable development of energy, water and environment systems",October,2021
