Unnamed: 0,title,abstract,year,processed_abstract
109,Validating Algorithms for Flexible Load Control in a Smart Grid Laboratory Environment,"The increasing penetration of renewables in distribution networks calls for the development of new technologies allowing for secure and stable operation of the power grid. Smart DSM and sector coupling are options with growing potential to integrate flexibilities into the grid, supporting decarbonization, decentralization, and digitization. Advancing the available flexibility of smart demand side applications, the energy system will be enabled to operate in a more sustainable and reliable way. The German-Finnish R&D project FUSE (FUture Smart Energy) attempts to increase the resilience of distribution grids by developing and investigating methods based on Artificial Intelligence (AI) for integrated planning and operation of multi-energy applications, supply infrastructure and local network conditions. For performance testing and assessment, the applied methods are implemented in a Smart Grid laboratory integrating process and/or buffer storage flexibility. An optimization framework is established to find the optimum system design and operation of resources. With the developed methods soft-control signals are generated automatically for available resources, enabling dynamic and decentralized control of demand side applications, while preserving independence of stakeholders. First performance testing runs show promising results. Ongoing development activities include improvement of system forecasts and determination of dynamically changing flexibility levels of participating devices.",2021,renewables distribution calls operation grid smart flexibilities grid decentralization advancing available flexibility smart demand side applications system fuse smart attempts distribution investigating methods operation applications testing methods smart grid buffer flexibility system operation methods available demand side applications independence testing runs system flexibility participating
110,Innovative Personalised Applications to Motivate and Support Behavioural Energy Efficiency,"Under the Energy Efficiency Directive (2012/27/EU) energy companies have to achieve yearly energy savings up to 1.5% of annual sales to final consumers. Although buildings’ occupants and energy end-users seem to be gaining greater awareness of the value and need for sustainable energy practices, they do not behave in a more energy-conscious way. Existing solutions tend to be complicated, excluding buildings’ occupants from the process of understanding how the building works in terms of energy efficiency. This study presents a suite of user-centered applications, which will empower energy end-users to engage in achieving energy efficiency, using an open, secure, privacy-respectful, configurable, scalable cloud based big data infrastructure. This multi-disciplinary big data environment will integrate heterogeneous types of data, combined with emerging machine learning algorithms, distributed ledgers, blockchain technologies and a digital reward scheme through an alternative currency. These tools provide a “user – centric” framework for energy companies, local and regional authorities and third parties to empower energy end-users to take an active attitude in their energy usage. The proposed framework aims at transforming the social environment in a building to make people aware of the value of energy, and the importance of their collaboration, unlocking a potential for 12TWh energy saved in Europe.",2021,efficiency directive companies yearly annual sales final buildings occupants seem gaining greater value behave tend excluding buildings occupants building efficiency suite empower engage efficiency configurable big data big data environment data ledgers reward currency centric framework companies regional authorities third parties empower attitude framework transforming environment building aware value collaboration unlocking saved europe
111,Optimizing Computational Resources for Edge Intelligence Through Model Cascade Strategies,"As the number of interconnected devices increases and more artificial intelligence (AI) applications upon the Internet of Things (IoT) start to flourish, so does the environmental cost of the computational resources needed to send and process all the generated data. Therefore, promoting the optimization of AI applications is a key factor for the sustainable development of IoT solutions. Paradigms such as Edge Computing are progressively proposed as a solution in the IoT field, becoming an alternative to delegate all the computation to the Cloud. However, bringing the computation to the local stage is limited by the resources’ availability of the devices hosted at the Edge of the network. For this reason, this work presents an approach that simplifies the complexity of supervised learning algorithms at the Edge. Specifically, it separates complex models into multiple simpler classifiers forming a cascade of discriminative models. The suitability of this proposal in a human activity recognition (HAR) context is assessed by comparing the performance of three different variations of this strategy. Furthermore, its computational cost is analyzed in several resource-constrained Edge devices in terms of processing time. The experimental results show the viability of this approach to outperform other ensemble methods, i.e., the Stacking technique. Moreover, it substantially reduces the computational cost of the classification tasks by more than 60% without a significant accuracy loss (around 3.5%). This highlights the potential of this strategy to reduce resource and energy requirements in IoT architectures and promote more efficient and sustainable classification solutions.",2021,devices iot start flourish cost computational send iot solutions paradigms edge progressively iot delegate computation computation devices hosted edge simplifies edge separates simpler forming cascade discriminative suitability proposal har strategy computational cost edge devices viability outperform stacking substantially computational cost classification strategy iot classification solutions
112,AI-based Energy Model for Adaptive Duty Cycle Scheduling in Wireless Networks,"The vast distribution of low-power devices in IoT applications requires robust communication technologies that ensure high-performance level in terms of QoS, light-weight computation, and security. Advanced wireless technologies (i.e. 5G and 6G) are playing an increasing role in facilitating the deployment of IoT applications. To prolong the network lifetime, energy harvesting is an essential technology in wireless networks. Nevertheless, maintaining energy sustainability is difficult when considering high QoS requirements in IoT. Therefore, an energy management technique that ensures energy efficiency and meets QoS is needed. Energy efficiency in duty cycling solutions needs novel energy management techniques to address these challenges and achieve a trade-off between energy efficiency and delay. Predictive models (i.e., based on AI and ML techniques) represent useful tools that encapsulate the stochastic nature of harvested energy in duty cycle scheduling. The conventional predictive model relies on environmental parameters to estimate the harvested energy. Instead, Artificial Intelligence (AI) allows for recursive prediction models that rely on past behavior of harvested and consumed energy. This is useful to achieve better precision in energy estimation and extend the limit beyond predictive models directed solely for energy sources that exhibit periodic behavior. In this paper, we explore the usage of a ML model to enhance the performance of duty cycle scheduling. The aim is to improve the QoS performance of the proposed solution. To assess the performance of the proposed model, it was simulated using the INET framework of the OMNet++ simulation environment. The results are compared to an enhanced IEEE 802.15.4 MAC protocol from the literature. The results of the comparative study show clear superiority of the proposed AI-based protocol that testified to better use of energy estimation for better management of the duty cycling at the MAC sublayer.",2021,iot qos wireless iot wireless qos iot management qos duty cycling management predictive models useful harvested duty cycle scheduling predictive model harvested models behavior harvested useful better estimation predictive models behavior model performance duty cycle scheduling qos performance performance model mac protocol protocol better estimation better management duty cycling mac
113,Key technologies applied to the optimization of smart grid systems based on the Internet of Things: A Review,"This article describes an analysis of the key technologies currently applied to improve the quality, efficiency, safety and sustainability of Smart Grid systems and identifies the tools to optimize them and possible gaps in this area, considering the different energy sources, distributed generation, microgrids and energy consumption and production capacity. The research was conducted with a qualitative methodological approach, where the literature review was carried out with studies published from 2019 to 2022, in five (5) databases following the selection of studies recommended by the PRISMA guide. Of the five hundred and four (504) publications identified, ten (10) studies provided insight into the technological trends that are impacting this scenario, namely: Internet of Things, Big Data, Edge Computing, Artificial Intelligence and Blockchain. It is concluded that to obtain the best performance within Smart Grids, it is necessary to have the maximum synergy between these technologies, since this union will enable the application of advanced smart digital technology solutions to energy generation and distribution operations, thus allowing to conquer a new level of optimization.",2022,describes technologies smart identifies gaps generation microgrids capacity qualitative methodological studies published five databases studies recommended prisma guide five hundred publications ten studies insight impacting concluded smart synergy technologies union smart generation allowing conquer
114,Optimal sizing of a stand-alone hybrid PV-WT-BT system using artificial intelligence based technique,"Nowadays, conventional energy system is being replaced by renewable energy system. Especially, PV systems and wind energy systems are gaining much attention due to their future sustainability and eco-friendly nature. However, for these types of systems, optimization and control is a challenging task because of their unpredictable nature. In this paper, an artificial intelligence (AI) based method named as multidimensional particle swarm optimization with weights induced fitness function (MDPSO-WIFF) approach is proposed for achieving the best combination size between the hybrid photovoltaic, wind turbine and battery storage (PV-WT-BT) system. The AI algorithm handles multiobjective optimization and gives minimum cost and maximum reliability along with the minimization of unutilized surplus power. The algorithm is then justified by comparing its results with iterative-pareto-fuzzy technique. The findings show that the proposed approach is faster and capable of obtaining better quality solution in terms of total cost and reliability with trade-off to dump load.",2020,system replaced system pv systems wind systems gaining nature types systems optimization unpredictable nature named multidimensional particle swarm optimization weights induced fitness approach combination size wind turbine system handles multiobjective optimization gives minimum cost reliability minimization unutilized surplus justified comparing approach faster capable obtaining cost reliability dump
115,A Review on the Applications of PSO-Based Algorithm in Demand Side Management: Challenges and Opportunities,"The increase in energy consumption, environmental pollution issues, and low-carbon agenda has grown the research area of demand side management (DSM). DSM programs provide feasible solutions and significantly enhance the efficiency and sustainability of electrical distribution systems. This paper classifies and discusses the broad definition of DSM based on the comprehensive literature study considering demand response and energy efficiency. The implementation of Artificial Intelligence algorithms in DSM applications has been employed in many studies to help researchers make optimal decisions and achieve predictions by analyzing the massive amount of historical data. Owing to its simplicity and consistent performance in fast convergence time, Particle Swarm Optimization (PSO) is widely used as a part of the swarm AI algorithm and has become a prominent technique in the optimization process to exploit the full benefit of the demand-side program. The variants of PSO have been developed to overcome the limitations of the original PSO and solve the high complexity and uncertainty in the DSM optimization process. The proposed PSO-based algorithm can optimize consumers’ consumption curves, reducing the peak demand and hence minimizing the electricity cost when integrated with the DR programs or EE measures. The research works of the PSO algorithm in DSM have seen an increasing trend in the past decade. Therefore, this paper reviewed the application of the PSO-based algorithm in DSM fields with some constraints and discussed the challenges from the previous work. The potential for new opportunities is identified so that PSO methods can be developed for future research.",2022,research demand dsm dsm programs classifies dsm demand dsm simplicity swarm optimization pso swarm optimization variants pso developed pso dsm optimization demand programs research pso dsm dsm pso developed research
116,A Data Science Approach to Modelling a Manufacturing Facility's Electrical Energy Profile from Plant Production Data,"Sustainable manufacturing is of increasing interest to a large number of batch production facilities. Energy efficiencies achieved through optimized scheduling is a desired target for such facilities. To achieve these energy efficiencies, the initial step is accurately modelling plant energy profiles from historical production schedule data. This poses several challenges as the data required to model plant energy is stored in various sources and does not conform to a common sampling rate or data type. Also, separating the energy consumption caused by plant production from the base load of lighting and HVAC systems is difficult unless each production process is metered adequately. This paper focuses on developing a methodology to deal with the complexities of data collection, data processing and modelling within a pharmaceutical batch production facility. Historical energy and scheduling data have been utilized to generate a model for the site's energy profile. The approach incorporates data science and machine learning tools which pose a possible solution to the problem outlined. The results from this work can feed into an overarching goal of more sustainable manufacturing processes by allowing site energy engineers to predict and better manage plant energy load.",2018,manufacturing batch production facilities efficiencies scheduling facilities efficiencies initial modelling plant profiles historical production data poses data plant stored conform data separating plant production load unless production metered adequately complexities data data modelling pharmaceutical batch production facility historical scheduling data site data pose outlined feed overarching manufacturing site plant load
117,"Design of Low Cost, Energy Efficient, IoT Enabled, Air Quality Monitoring System with Cloud Based Data Logging, Analytics and AI","This paper presents a design of real-time Air Quality Monitoring System (AQMS) which incorporates Internet of Things (IoT) and cloud computing. AQMS utilizes solar panel and battery pack for independent and autonomous operation, thus, making it self-powered and sustainable. AQMS is based on AVR Microcontroller (Atmega32) and GSM modem (Sim900) for connectivity with the cloud application. The design is made low cost and scalable so that around 50nos. of such systems can be installed on roundabouts of market places, residential and industrial areas. The AQMS monitors the air quality with the help of a miniature suction pump (5volt DC) which establishes a controlled and constant stream of air-flow through a manifold that encapsulates electromechanical sensors, thus measuring the concentration of O2, CO, CO2, SO / SO2 (SOx), NO/ NO2 (NOx), Hydrocarbon (CxHx), temperature, humidity and noise. By default, the air sampling is carried out once in an hour which may be changed depending on the change in air quality, i.e. making it adoptive for energy conservation and extending the sensor's life. The data collected at the cloud application will be processed using data analytics and Artificial Intelligence (AI) for getting insights of data (data mining) regarding the potential locations where the emissions are critical and disastrous for environmental, thus, leading to prevent any mishap. The design is mapped over a metropolitan city of Pakistan, i.e. Karachi, thus initiating the transformation of Karachi to a smart city.",2020,design air quality aqms cloud aqms pack thus making aqms avr gsm modem cloud design roundabouts aqms monitors air quality miniature suction stream encapsulates thus concentration co sox nox cxhx air air quality making adoptive data cloud data data data thus mishap design city pakistan karachi thus initiating karachi city
118,GeneticBee: A theoretic and evolutionary formulation for the energy efficiency problem of urban trains,"The electric motors of the trains in a railway system are powered by electricity, and the energy demand is high. In addition, rail-based transport systems continue to grow, and therefore, solutions are currently sought to optimise energy consumption. This article presents an analysis of electric multiple units (EMUs) of the Companhia Brasileira de Trens Urbanos - Brazilian Urban Train Company (CBTU) - Recife, Brazil and the use of electric power provided by the engines during acceleration and braking. To this end, a general model is proposed that encompasses an analysis of the speed and driving profiles, herein termed speed profile optimisation. This model is validated by empirical simulations with the aid of MATLAB software and the implementation of a genetic algorithm of artificial intelligence using the Java programming language. We intend to demonstrate that by controlling the train speed profiles and considering some limits, restrictions and parameters, a decrease in energy consumption in the analysed stations will follow, which will promote more sustainable transport and cost savings.",2016,electric motors trains railway powered transport continue grow sought optimise analysis electric units emus companhia brasileira de trens urbanos brazilian train company cbtu recife brazil electric engines acceleration braking encompasses analysis speed profiles herein termed speed optimisation empirical aid matlab java intend train speed profiles limits restrictions analysed stations follow transport
119,Optimal Placement of Grid-Connected Wind Farms Based on Artificial Intelligence Techniques,"From ancient times to the present day, the wind has been consistently recognized as one of the most important, accessible, and environmentally friendly energy sources, which today has a significant share in global electricity generation. The limited resources of fossil fuels are running out day by day, and the exploitation of this type of energy produces harmful pollutants. Consequently, double attention is paid to wind power and similar free and sustainable resources. Attaining the optimal location for establishing wind farms and turbines preeminently reduces construction/transmission costs and energy-related losses. In light of the above, we employ several artificial intelligence (AI) algorithms to optimally identify and locate the grid-connected wind farms, significantly serving electricity energy manufacturers and distribution companies. In addition, this study aims to maximize the efficiency of the wind energy system by considering the critical factors influencing the production capacities, such as wind speed, air density, turbine size, and geographical location. This work leverages an image processing-based technique, density-based spatial clustering of applications with noise (DB-SCAN), k-means, fuzzy c-means (FCM), and k-medoids machine learning algorithms. Numerous experiments and simulations are designed and performed exploiting MATLAB/Simulink, all of which demonstrate the substantial superiority of the proposed systems.",2022,ancient day wind consistently recognized accessible share electricity day day exploitation produces harmful pollutants double wind attaining location wind farms turbines preeminently locate wind farms serving electricity manufacturers wind influencing wind location leverages noise fcm
120,Towards Extreme and Sustainable Graph Processing for Urgent Societal Challenges in Europe,"The Graph-Massivizer project, funded by the Horizon Europe research and innovation program, researches and develops a high-performance, scalable, and sustainable platform for information processing and reasoning based on the massive graph (MG) representation of extreme data. It delivers a toolkit of five open-source software tools and FAIR graph datasets covering the sustainable lifecycle of processing extreme data as MGs. The tools focus on holistic usability (from extreme data ingestion and MG creation), automated intelligence (through analytics and reasoning), performance modelling, and environmental sustainability tradeoffs, supported by credible data-driven evidence across the computing continuum. The automated operation uses the emerging serverless computing paradigm for efficiency and event responsiveness. Thus, it supports experienced and novice stakeholders from a broad group of large and small organisations to capitalise on extreme data through MG programming and processing. Graph-Massivizer validates its innovation on four complementary use cases considering their extreme data properties and coverage of the three sustainability pillars (economy, society, and environment): sustainable green finance, global environment protection foresight, green AI for the sustainable automotive industry, and data centre digital twin for exascale computing. Graph-Massivizer promises 70% more efficient analytics than AliGraph, and 30 % improved energy awareness for extract, transform and load storage operations than Amazon Redshift. Furthermore, it aims to demonstrate a possible two-fold improvement in data centre energy efficiency and over 25 % lower greenhouse gas emissions for basic graph operations.",2022,innovation processing reasoning graph mg extreme data tools graph processing extreme data tools extreme data mg automated analytics reasoning computing automated computing extreme data mg processing innovation extreme data green green data centre computing analytics operations data centre graph operations
121,An Artificial Intelegence Energy Management System For An Educational Building,"The study of energy demand and consumption has become a topic of increasing importance as a result of the growing interest in energy sustainability in the present energy crisis of South Africa. Therefore, the consideration of electrical power savings in education buildings can play a huge role, which was implemented in this study. Due to the various buildings, it offers an excellent test bed to monitor energy consumption and to understand the demand for electricity of the different buildings. In addition, it was possible to predict with an artificial intelligence concept, using different prediction models when peak load will occur and to determine a maximum demand. A suitable database for the Engineering Technology Building (ETB) at the Central University of Technology (CUT), Free State, was created and available data of the electricity energy usage were collected and analysed for this purpose, with the aid of utilising methods, namely Moving Average, Straight Line and Kalman Filter. The available data were tested and evaluated by the switchgear, according to the priority list, and it proved to be successful. This proved to work well and a greater percentage of savings could be achieved by switching another circuit breaker according to the priority list.",2021,demand crisis south africa savings buildings buildings excellent bed demand electricity buildings occur demand etb central cut available electricity utilising straight kalman filter available switchgear according priority list proved proved greater percentage savings switching circuit breaker according priority list
122,Flexibility platform for community energy systems,"Integrating technological changes and sustainability considerations poses multidisciplinary challenges for the power system beyond economic and environmental benefits. Allowing energy from distributed energy resources to be traded and coordinated peer-to-peer in real-time can mitigate system and policy-making issues while decreasing the strain on power system infrastructure. Transactive Renewable Energy Exchange (TREX) is artificial intelligence (AI)-assisted flexibility platform for community energy systems that can also act as an AI training tool. Using AI agents to manage instantaneous market interactions in real-time is the first step to long-term sustainability and flexibility. In this article, the authors show that deep learning agents are able to learn to exploit the trading habits of opposing expert-designed traders in a TREX environment. Based on the results, future efforts will be extended towards a multi-agent setup with full utilisation of the capabilities of the market.",2020,integrating considerations poses multidisciplinary power system beyond benefits allowing traded coordinated mitigate system decreasing strain power system transactive exchange trex flexibility act agents instantaneous market interactions step flexibility authors agents able learn exploit trading habits opposing traders trex efforts extended setup full utilisation market
123,Internet of Things- Cloud Security Automation Technology Based on Artificial Intelligence,"The development of industrial robots, as a carrier of artificial intelligence, has played an important role in promoting the popularisation of artificial intelligence super automation technology. The paper introduces the system structure, hardware structure, and software system of the mobile robot climber based on computer big data technology, based on this research background. At the same time, the paper focuses on the climber robot's mechanism compound method and obstacle avoidance control algorithm. Smart home computing focuses on “home” and brings together related peripheral industries to promote smart home services such as smart appliances, home entertainment, home health care, and security monitoring in order to create a safe, secure, energy-efficient, sustainable, and comfortable residential living environment. It's been twenty years. There is still no clear definition of “intelligence at home,” according to Philips Inc., a leading consumer electronics manufacturer, which once stated that intelligence should comprise sensing, connectedness, learning, adaption, and ease of interaction. S mart applications and services are still in the early stages of development, and not all of them can yet exhibit these five intelligent traits.",2022,robots carrier intelligence played popularisation intelligence super structure structure robot climber focuses climber robot compound obstacle avoidance smart home focuses home brings peripheral smart home services smart home entertainment home twenty still definition intelligence home philips manufacturer stated intelligence comprise connectedness adaption ease mart services still exhibit traits
124,Artificial Intelligence Enabled Demand Response: Prospects and Challenges in Smart Grid Environment,"Demand Response (DR) has gained popularity in recent years as a practical strategy to increase the sustainability of energy systems while reducing associated costs. Despite this, Artificial Intelligence (AI) and Machine Learning (ML), have recently developed as critical technologies for demand-side management and response due to the high complexity of tasks associated with DR, as well as huge amount of data management to take decisions very near to real time implications. Selecting the best group of users to respond, learning their attitude toward consumptions and their priorities, price optimization, monitoring and control of devices, learning to engage more and more consumers in the DR schemes, and learning how to remunerate them fairly and economically are all problems that can be tackled with the help of AI techniques. This study presents an overview of AI approaches used for DR applications. Both the Artificial Intelligence and Machine Learning algorithm(s) are employed while discussing commercial efforts (from both new and existing businesses) and large-scale innovation projects that have applied AI technologies for energy DR. Different kind of DR programs implemented in different countries are also discussed. Moreover, it also discusses the application of blockchain for DR schemes in smart grid paradigm. Discussion of the strengths and weaknesses of the evaluated AI methods for various DR tasks, as well as suggestions for further study, round out the work.",2022,response dr associated learning response tasks associated dr well selecting respond learning attitude consumptions learning dr schemes learning remunerate fairly tackled dr learning dr dr schemes strengths dr tasks well
125,SmartBuildings: an AmI system for energy efficiency,"Nowadays, the increasing global awareness of the importance of energy saving in everyday life acts as a stimulus to provide innovative ICT solutions for sustainability. In this scenario, the growing interest in smart homes has been driven both by socioeconomic and technological expectations. One of the key aspects of being smart is the efficiency of the urban apparatus, which includes, among others, energy, transportation and buildings. The present work describes SmartBuildings, a novel Ambient Intelligence system, which aims at reducing the energy consumption of ""legacy"" buildings by means of artificial intelligence techniques applied on heterogeneous sensor networks. A prototype has been realized addressing two different scenarios, i.e. the management of a campus and of a manufacturing facility. A complete description of the elements included in the case study is presented.",2015,nowadays awareness importance saving everyday acts stimulus innovative ict scenario interest smart homes driven socioeconomic expectations aspects smart urban apparatus includes others buildings describes smartbuildings ambient legacy buildings means heterogeneous prototype realized addressing campus facility complete description elements included
126,Energy-efficient and Sustainable Construction Technologies and Simulation Optimisation Methods,"As a key part of sustainable urban development, constructing buildings and other infrastructures using sustainable technologies and materials is a key research field to minimize energy consumption and seek to combat climate change. This study introduced several feasible energy-efficient and environmental-friendly materials and methods, including roof gardening, advanced and recycled materials, green interior decoration, and simulation optimisation measures. Roof gardening is a kind of promising roof form that makes the functions of purifying air quality, energy conserving, and reshape the urban ecosystems all possible. However, the market still needs more encouragement from the government to better implementation in the city. Advanced materials and waste reuse materials are two key aspects of green building materials in energy saving and environment protection. The advanced material of photocatalytic self-cleaning glass has been fully applied; However, TiO2 self-cleaning glass and waste reuse materials such as rubber, straw, bamboo have some degrees of limitations due to economic and distribution constraints. The interior decoration combined with environmentally friendly materials is of great significance to enhance energy usage and environmental quality. Some new environmental protection inventions such as LED lights and artificial intelligence technologies are the main development direction in interior decoration in the future. Utilizing computer simulation and optimisation to minimize the building life cycle environmental impacts has also gained increasing attentions recently. Regarding design optimisation, emerging digital technologies (e.g., neural network, data-driven design and parametric 3D modelling, multi-disciplinary optimisation) are enablers for greater automation in early design exploration and should be encouraged in sustainable design optimisation.",2021,key urban technologies materials key minimize materials roof gardening advanced materials interior decoration optimisation roof gardening roof urban advanced materials waste reuse materials key materials protection advanced glass glass waste reuse materials interior decoration materials environmental environmental protection technologies interior decoration optimisation minimize environmental design optimisation technologies design optimisation design design optimisation
127,MMRL: A Multi-Modal Reinforcement Learning Technique for Energy-efficient Medical IoT Systems,"The Internet of Medical Things (IoMT) couples the rapid growth of Internet of things (IoT) technologies with smart health systems, leveraging wireless battery-operated devices for remote health monitoring. Since 2019, a surge in the number of COVID-19 patients has increased rapidly, leading to increased strain on hospital resources and leaving some urgent patients behind. This is substantial cause to transform interactive health treatment into intelligent healthcare using edge computing and artificial intelligence (AI) techniques. However, running sophisticated AI-based edge computing techniques on IoT devices with limited battery is not sustainable. Hence, addressing the trade-off between energy-efficiency and smart AI techniques is imperative to maximize the device's lifetime. This paper proposes a Multi-Modal Reinforcement Learning (MMRL) algorithm that will help maximize the IoT device's lifetime using adaptive data compression, energy-efficient communication, and minimum latency, particularly for emergency events. The results showed a 500% longer battery life than the state-of-the-art algorithms in addition to high adaptability to different conditions.",2021,internet medical things iomt couples internet things iot health leveraging devices health surge patients increased increased strain hospital leaving urgent patients behind cause transform interactive health treatment healthcare edge computing techniques running sophisticated edge computing techniques iot devices battery techniques imperative maximize device lifetime mmrl maximize iot device lifetime compression minimum emergency longer battery adaptability
128,Digital revolution in efficient self-organization of buildings: towards intelligent robotics,"Artificial intelligence highlights in several sectors, remarkable results of energy efficiency that sublimate the building sector and push it considerably towards new markets, as in small development economies. The objectives are aimed at Digital Construction Management with the adoption of intelligent automation and robotization systems, through eco-production indicators in construction, as a future strategic sector for technological development. For this reason, quality and interoperability in building processes are urged, with a relative reduction in timing and costs, safety, productivity and environmental sustainability. Therefore appeal to parametric design and digital fabrication in Lean Construction, with intelligent robotics and efficient end-effector, ICT technologies, as in the lead countries of which China, Japan, South Korea, Germany and the USA stimulated by the technological boost. The methodologies indicate the application of intelligent systems and devices, learning machines and new generation robotics. They are particularly aimed at office buildings, for efficient self-organization and autonomy in new digital building models, favoring the customized serial production of Mass Customization which stands out in this digital revolution. It becomes the future investment in many countries where there is, above all, a high need for energy demand, compared to the growing demand for C02 and reduction and decarbonization of buildings.",2018,remarkable sublimate building sector push considerably new aimed digital construction intelligent robotization construction sector technological building urged relative reduction timing productivity appeal parametric digital fabrication lean construction intelligent robotics efficient countries japan south korea germany usa stimulated technological boost intelligent new robotics aimed office buildings efficient new digital building favoring customized serial stands digital countries demand demand reduction buildings
129,"UNICON: An Open Dataset of Electricity, Gas and Water Consumption in a Large Multi-Campus University Setting","In this paper we introduce UNICON, a large-scale open dataset on UNIversity CONsumption of utilities, electricity, gas and water. This dataset is publicly released as part of La Trobe University’s commitment to Net Zero Carbon Emissions by 2029, for which we are building the La Trobe Energy AI/Analytics Platform (LEAP) that leverages Artificial Intelligence (AI) and Data Analytics to analyse, predict and optimize the consumption, generation and utilization of electricity, renewables, gas and water resources. UNICON contains consumption data for La Trobe’s five campuses in geographically distributed regions, across four years, 2018-2021 inclusive. This includes the COVID-19 global pandemic timeline of university shutdown and work from home measures that led to a significant decrease in the consumption of utilities. The consumption data consists of smart electricity meter readings at 15-minute granularity, gas meter readings at hourly intervals and water meter readings at 15-minute intervals. UNICON also contains weather data from the closest weather station to each campus, collected at two-speed latency of 1 minute and 10 minutes. The dataset is annotated with internal events of significance, such as energy conservation measures (ECMs) and other measurement and validation (M&V) activities conducted as part of LEAP optimization. To the best of our knowledge, this is the first large-scale, comprehensive, open dataset for the three main utilities, electricity, gas, and water consumption in a multi-campus university setting. A high granularity data dictionary and technical validation of the dataset for consumption trends, baseline modelling and forecasting are further contributions of this article that will enable interested research scientists, academics, industry practitioners, sustainability and energy consultants to experiment and evaluate their AI algorithms, models, forecasts, as well as inform the development of energy benchmarks, guidelines and much needed data-driven energy policies.",2022,unicon open dataset university consumption utilities electricity gas water dataset part la trobe university la trobe leap data consumption electricity gas water unicon contains consumption data la trobe university measures consumption utilities consumption data electricity meter readings granularity gas meter readings intervals water meter readings intervals unicon contains weather data weather dataset measures validation part leap open dataset utilities electricity gas water consumption university granularity data validation dataset consumption
130,Towards Energy-efficient Federated Edge Intelligence for IoT Networks,"Federated edge intelligence (FEI) is an emerging framework that implements federated learning (FL)-based learning solutions in an edge networking and computing system. It has attracted significant interest due to its potential to enable machine learning (ML)-based smart services and applications in the next-generation wireless systems. Despite its potential, the environmental impact of implementing energy-consuming ML-based solutions in a large networking system has been considered as one of the major challenges for the sustainability of future digital networking systems. This paper proposes energy-efficient FEI (EE-FEI), an energy-efficient framework, that jointly optimizes multiple key parameters to minimize the overall energy consumption of an FEI-supported Internet of Things (IoT) network. We establish models to quantify the relationship between the total energy consumption of FEI and the key parameters including the number of edge servers, the number of local model training rounds, and the number of global coordination rounds. We formulate the energy consumption minimization problem and prove its approximation problem is biconvex. Alternate Convex Search (ACS) algorithm for solving the key parameters to minimize the energy consumption of an FEI system has been used. Finally, we evaluate our theoretical results using a hardware prototype. Numerical results have shown that EE-FEI can significantly reduce the energy consumption of FEI systems by 49.8%.",2021,federated edge fei framework federated solutions edge networking potential systems potential solutions networking networking systems fei framework key parameters minimize consumption consumption fei key parameters number edge number rounds number rounds formulate consumption problem approximation problem biconvex convex acs key parameters minimize consumption fei consumption fei systems
131,The Challenges Facing the Development of AI in Africa,"In this article, we provide a non-exhaustive list of solutions and initiatives developed by using Artificial Intelligence (AI) to solve recurring problems in Africa. Despite the existing initiatives, the continent is not fully benefiting from AI. The challenges facing Africa are numerous and diverse. At the forefront are related challenges such as difficult access to large amounts of data, quality of data, data storage, and data regulatory policy. AI technologies require a good quality connection and considerable energy requirements. Unfortunately, the container suffers from lack of broadband and energy infrastructure. Also, the operation of AI requires a skilled workforce while the education system is not conducive to the development of AI skills and schools and universities do not provide enough young graduates in the labor market with a strong competence in AI. In addition, there is a lack of effective policy and funding for AI research and innovation. Nevertheless, initiatives to promote the development of AI on the continent already exist. In addition, we propose possible solutions, from funding for ecosystem building to infrastructure development, education redesign, and national and regional strategy and policy development so that AI can finally be a key technology for Africa's sustainable development.",2020,list solutions initiatives recurring africa initiatives continent benefiting africa forefront data quality data data data regulatory policy quality unfortunately container suffers lack broadband infrastructure skilled workforce education conducive development skills schools universities enough young graduates labor competence addition lack policy funding initiatives development continent addition solutions funding infrastructure development education redesign regional policy development africa development
132,Energy-Efficient Resource Allocation and Data Transmission of Cell-Free Internet of Things,"The Internet of Things (IoT) is a huge network consisting of various information-sensing devices combined with the Internet. The IoT aims to connect all things with the network to facilitate identification and management. The increasing number of things, connections, and volume of data is challenging the reliability and sustainability of the IoT. To push forward the development of the IoT, a cell-free IoT system is proposed based on a cell-free wireless communication network. Under the architecture of cell-free IoT, the cell concept for wireless communication in the IoT system has been diluted, and the reliability and robustness of the IoT system can be improved when compared with the cellular IoT system. Moreover, this article considers resource allocation and data transmission of cell-free IoT. An optimization model is designed for resource allocation to ensure quality data transmission. Furthermore, a novel heuristic algorithm is proposed for solving the optimization model. The heuristic algorithm is memetic of two machine learning methods. Extensive simulations are conducted to study the performance of the presented cell-free IoT. Energy efficiency is improved by the proposed algorithm compared with existing algorithms. The results show that cell-free IoT can achieve better reliability and sustainability.",2020,things iot network consisting iot things network things reliability iot push iot iot system proposed wireless communication network iot wireless communication iot system diluted reliability iot system improved compared cellular iot system resource allocation transmission iot optimization resource allocation transmission heuristic proposed optimization heuristic memetic iot improved proposed compared iot reliability
